id,microtheme,phrase_family,phrase_text,pattern_lemmas,precision_level,source_type,enabled,risk_comment,comment
PHR_069,понимание / ясность,UNDERSTAND,ясно понять,ясно понять,CORE,manual_existing,1,,осознанное понимание
PHR_070,понимание / ясность,UNDERSTAND,понять одно,понять один,CORE,manual_existing,1,,формула вывода
PHR_071,понимание / ясность,HEAD_MIND,уразуметь наконец,уразуметь наконец,CORE,manual_existing,1,,понимание
PHR_072,понимание / ясность,ПОНИМАНИЕ_ЯСНОСТЬ,дошло до сознания,дойти до сознание,CORE,manual_existing,1,,осознание
PHR_073,понимание / ясность,ПОНИМАНИЕ_ЯСНОСТЬ,дошло до него,дойти до он,CORE,manual_existing,1,,осознание через местоимение
PHR_074,понимание / ясность,PRACTICAL_INTELLECTION,догадаться сразу,догадаться сразу,CORE,manual_existing,1,,быстрая догадка
PHR_075,понимание / ясность,PRACTICAL_INTELLECTION,догадаться вдруг,догадаться вдруг,CORE,manual_existing,1,,внезапная догадка
PHR_076,решение / намерение,DECIDE,принять решение,принять решение,CORE,manual_existing,1,,принятие решения
PHR_077,решение / намерение,DECIDE,решил окончательно,решить окончательно,CORE,manual_existing,1,,окончательное решение
PHR_078,решение / намерение,DECIDE,окончательно решил,окончательно решить,CORE,manual_existing,1,,окончательное решение
PHR_079,решение / намерение,DECIDE,твердо решил,твердо решить,CORE,manual_existing,1,,твердое решение
PHR_080,решение / намерение,DECIDE,решил идти,решить идти,CORE,manual_existing,1,,решение действия
PHR_081,решение / намерение,DECIDE,решил сделать,решить сделать,CORE,manual_existing,1,,решение действия
PHR_082,решение / намерение,DECIDE,решиться на,решиться на,CORE,manual_existing,1,,волевое решение
PHR_083,решение / намерение,THINK_GENERAL,надумал идти,надумать идти,CORE,manual_existing,1,,намерение
PHR_084,решение / намерение,THINK_GENERAL,надумал сделать,надумать сделать,CORE,manual_existing,1,,намерение
PHR_085,решение / намерение,THINK_GENERAL,задумал сделать,задумать сделать,CORE,manual_existing,1,,замысел
PHR_086,решение / намерение,РЕШЕНИЕ_НАМЕРЕНИЕ,собрался идти,собраться идти,CORE,manual_existing,1,,намерение
PHR_087,решение / намерение,THINK_GENERAL,передумал идти,передумать идти,CORE,manual_existing,1,,смена решения
PHR_088,сомнение / колебание,СОМНЕНИЕ_КОЛЕБАНИЕ,взять сомнение,взять сомнение,CORE,manual_existing,1,,появление сомнения
PHR_089,сомнение / колебание,СОМНЕНИЕ_КОЛЕБАНИЕ,сомнение взяло,сомнение взять,CORE,manual_existing,1,,инверсивный вариант
PHR_090,сомнение / колебание,OBSESSIVE_THOUGHT,мучить сомнение,мучить сомнение,CORE,manual_existing,1,,состояние сомнения
PHR_091,сомнение / колебание,СОМНЕНИЕ_КОЛЕБАНИЕ,быть в сомнении,быть в сомнение,CORE,manual_existing,1,,состояние сомнения
PHR_092,сомнение / колебание,СОМНЕНИЕ_КОЛЕБАНИЕ,оставаться в сомнении,оставаться в сомнение,CORE,manual_existing,1,,состояние сомнения
PHR_093,сомнение / колебание,THINK_GENERAL,не знать что думать,не знать что думать,CORE,manual_existing,1,,метарефлексия
PHR_094,сомнение / колебание,HESITATE,колебаться между,колебаться между,CORE,manual_existing,1,,колебание выбора
PHR_095,сомнение / колебание,DOUBT,засомневаться в,засомневаться в,CORE,manual_existing,1,,начало сомнения
PHR_096,рассуждение / вывод,РАССУЖДЕНИЕ_ВЫВОД,рассудить так,рассудить так,EXTENDED,manual_existing,1,,логическое заключение
PHR_097,рассуждение / вывод,РАССУЖДЕНИЕ_ВЫВОД,рассуждать о,рассуждать о,EXTENDED,manual_existing,1,,рассуждение
PHR_098,рассуждение / вывод,PROMPT_TO_THINK,сообразить сразу,сообразить сразу,EXTENDED,manual_existing,1,,быстрое соображение
PHR_099,рассуждение / вывод,PROMPT_TO_THINK,сообразить что,сообразить что,EXTENDED,manual_existing,1,,соображение
PHR_100,рассуждение / вывод,HEAD_MIND,прикинуть в уме,прикинуть в ум,EXTENDED,manual_existing,1,,ментальная оценка
PHR_101,рассуждение / вывод,PRACTICAL_INTELLECTION,смекнуть дело,смекнуть дело,EXTENDED,manual_existing,1,,догадка/соображение
PHR_102,рассуждение / вывод,РАССУЖДЕНИЕ_ВЫВОД,сделать вывод,сделать вывод,EXTENDED,manual_existing,1,,логический вывод
PHR_103,рассуждение / вывод,РАССУЖДЕНИЕ_ВЫВОД,прийти к выводу,прийти к вывод,EXTENDED,manual_existing,1,,логический вывод
PHR_104,рассуждение / вывод,РАССУЖДЕНИЕ_ВЫВОД,счесть нужным,счесть нужный,EXTENDED,manual_existing,1,,оценочное решение
PHR_105,рассуждение / вывод,РАССУЖДЕНИЕ_ВЫВОД,счесть возможным,счесть возможный,EXTENDED,manual_existing,1,,оценочное решение
PHR_106,фразеология мышления,HEAD_MIND,пораскинуть мозгами,пораскинуть мозг,EXTENDED,manual_existing,1,,исходный пример руководителя
PHR_107,фразеология мышления,HEAD_MIND,выкинуть из головы,выкинуть из голова,EXTENDED,manual_existing,1,,устойчивый оборот
PHR_108,фразеология мышления,HEAD_MIND,не выходит из головы,не выходить из голова,EXTENDED,manual_existing,1,,устойчивый оборот
PHR_109,фразеология мышления,HEAD_MIND,держать в голове,держать в голова,EXTENDED,manual_existing,1,,устойчивый оборот
PHR_110,фразеология мышления,HEAD_MIND,ломать голову,ломать голова,EXTENDED,manual_existing,1,,устойчивый оборот
PHR_111,фразеология мышления,OBSESSIVE_THOUGHT,не давать покоя,не давать покой,EXTENDED,manual_existing,1,,устойчивый оборот
PHR_112,фразеология мышления,HEAD_MIND,раскинуть умом,раскинуть ум,EXTENDED,manual_existing,1,,устойчивый оборот
PHR_113,фразеология мышления,HEAD_MIND,прикинуть умом,прикинуть ум,EXTENDED,manual_existing,1,,устойчивый оборот
PHR_114,фразеология мышления,HEAD_MIND,дойти своим умом,дойти свой ум,EXTENDED,manual_existing,1,,устойчивый оборот
PHR_115,фразеология мышления,HEAD_MIND,держать в уме,держать в ум,EXTENDED,manual_existing,1,,устойчивый оборот
PHR_116,фразеология мышления,HEAD_MIND,взять в ум,взять в ум,EXTENDED,manual_existing,1,,устойчивый оборот
PHR_117,фразеология мышления,HEAD_MIND,на ум нейдет,на ум идти,EXTENDED,manual_existing,1,,вариант с отрицанием
PHR_118,фразеология мышления,HEAD_MIND,из головы не шло,из голова не идти,EXTENDED,manual_existing,1,,вариант с отрицанием
PHR_119,фразеология мышления,HEAD_MIND,голова кругом идет,голова кругом идти,EXPERIMENTAL,manual_existing,1,,пограничный когнитивный оборот
PHR_120,эмоционально окрашенная мысль,ЭМОЦИОНАЛЬНО_ОКРАШЕННАЯ_МЫСЛЬ,тревожная мысль,тревожный мысль,EXTENDED,manual_existing,1,,мысль с эмоциональной окраской
PHR_121,эмоционально окрашенная мысль,ЭМОЦИОНАЛЬНО_ОКРАШЕННАЯ_МЫСЛЬ,страшная мысль,страшный мысль,EXTENDED,manual_existing,1,,мысль с эмоциональной окраской
PHR_122,эмоционально окрашенная мысль,ЭМОЦИОНАЛЬНО_ОКРАШЕННАЯ_МЫСЛЬ,горькая мысль,горький мысль,EXTENDED,manual_existing,1,,мысль с эмоциональной окраской
PHR_123,эмоционально окрашенная мысль,ЭМОЦИОНАЛЬНО_ОКРАШЕННАЯ_МЫСЛЬ,тяжелая мысль,тяжелый мысль,EXTENDED,manual_existing,1,,мысль с эмоциональной окраской
PHR_124,эмоционально окрашенная мысль,ЭМОЦИОНАЛЬНО_ОКРАШЕННАЯ_МЫСЛЬ,одна только мысль,один только мысль,EXTENDED,manual_existing,1,,концентрированное переживание
PHR_125,процесс размышления,THINK_GENERAL,стал думать,стать думать,CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_126,процесс размышления,THINK_GENERAL,начал думать,начал думать,CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_127,процесс размышления,THINK_GENERAL,начала думать,начала думать,CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_128,процесс размышления,THINK_GENERAL,принялся думать,принялся думать,CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_129,процесс размышления,THINK_GENERAL,принялась думать,принялась думать,CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_130,процесс размышления,THINK_GENERAL,сидел и думал,сидел и думать,CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_131,процесс размышления,THINK_GENERAL,лежал и думал,лежал и думать,CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_132,процесс размышления,THINK_GENERAL,ехал и думал,ехал и думать,CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_133,процесс размышления,THINK_GENERAL,шел и думал,шел и думать,CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_134,процесс размышления,THINK_GENERAL,молчал и думал,молчал и думать,CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_135,процесс размышления,THINK_GENERAL,думал о случившемся,думать о случившемся,CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_136,процесс размышления,THINK_GENERAL,думал об этом,думать об этом,CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_137,процесс размышления,THINK_GENERAL,думал о своем,думать о своем,CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_138,процесс размышления,THINK_GENERAL,думал о прошлом,думать о прошлом,CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_139,процесс размышления,THINK_GENERAL,думал о будущем,думать о будущем,CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_140,процесс размышления,THINK_GENERAL,думал о жизни,думать о жизни,CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_141,процесс размышления,THINK_GENERAL,думал о смерти,думать о смерти,CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_142,процесс размышления,THINK_GENERAL,думал о войне,думать о войне,CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_143,процесс размышления,THINK_GENERAL,думал о доме,думать о доме,CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_144,процесс размышления,THINK_GENERAL,думал о семье,думать о семье,CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_145,процесс размышления,THINK_GENERAL,думал о Наталье,думать о наталье,CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_146,процесс размышления,THINK_GENERAL,думал об Аксинье,думать об аксинье,CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_147,процесс размышления,THINK_GENERAL,мрачно думал,мрачно думать,CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_148,процесс размышления,THINK_GENERAL,угрюмо думал,угрюмо думать,CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_149,процесс размышления,THINK_INTENSIVE,мучительно думал,мучительно думать,CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_150,процесс размышления,THINK_GENERAL,напряженно думал,напряженно думать,CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_151,процесс размышления,THINK_GENERAL,неспокойно думал,неспокойно думать,CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_152,процесс размышления,THINK_GENERAL,горько думал,горько думать,CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_153,процесс размышления,THINK_GENERAL,тревожно думал,тревожно думать,CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_154,процесс размышления,THINK_GENERAL,упорно думал,упорно думать,CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_155,процесс размышления,THINK_GENERAL,безотвязно думал,безотвязно думать,CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_156,процесс размышления,THINK_GENERAL,неотступно думал,неотступно думать,CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_157,процесс размышления,THINK_GENERAL,думал всю дорогу,думать всю дорогу,CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_158,процесс размышления,THINK_GENERAL,думал всю ночь,думать всю ночь,CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_159,процесс размышления,THINK_GENERAL,думал до утра,думать до утра,CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_160,процесс размышления,THINK_GENERAL,думал молча,думать молча,CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_161,процесс размышления,THINK_GENERAL,думал тяжко,думать тяжко,CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_162,процесс размышления,THINK_GENERAL,думал хмуро,думать хмуро,CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_163,процесс размышления,THINK_GENERAL,думал сердито,думать сердито,CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_164,процесс размышления,THINK_GENERAL,думал с тоской,думать с тоской,CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_165,процесс размышления,THINK_GENERAL,думал с тревогой,думать с тревогой,CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_166,процесс размышления,THINK_GENERAL,думал с горечью,думать с горечью,CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_167,процесс размышления,THINK_GENERAL,думал о казаках,думать о казаках,CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_168,процесс размышления,THINK_GENERAL,думал о хуторе,думать о хуторе,CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_169,процесс размышления,THINK_GENERAL,думал о Доне,думать о доне,CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_170,процесс размышления,THINK_GENERAL,думал о фронте,думать о фронте,CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_171,процесс размышления,THINK_GENERAL,думал о судьбе,думать о судьбе,CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_172,процесс размышления,THINK_GENERAL,думал над этим,думать над этим,CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_173,процесс размышления,THINK_GENERAL,думал над словами,думать над словами,CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_174,процесс размышления,THINK_GENERAL,думал над ответом,думать над ответом,CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_175,процесс размышления,THINK_GENERAL,думал над поступком,думать над поступком,CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_176,процесс размышления,THINK_GENERAL,думал над решением,думать над решением,CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_177,голова / ум как орган мышления,REFLECT_GENERAL,долго раздумывал,долго раздумывал,EXTENDED,manual_expanded,1,пограничная формула: проверять вручную,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_178,голова / ум как орган мышления,REFLECT_GENERAL,стал раздумывать,стать раздумывать,EXTENDED,manual_expanded,1,пограничная формула: проверять вручную,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_179,голова / ум как орган мышления,REFLECT_GENERAL,начал раздумывать,начал раздумывать,EXTENDED,manual_expanded,1,пограничная формула: проверять вручную,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_180,голова / ум как орган мышления,REFLECT_GENERAL,принялся раздумывать,принялся раздумывать,EXTENDED,manual_expanded,1,пограничная формула: проверять вручную,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_181,голова / ум как орган мышления,REFLECT_GENERAL,раздумывал над этим,раздумывал над этим,EXTENDED,manual_expanded,1,пограничная формула: проверять вручную,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_182,голова / ум как орган мышления,REFLECT_GENERAL,раздумывал о случившемся,раздумывал о случившемся,EXTENDED,manual_expanded,1,пограничная формула: проверять вручную,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_183,голова / ум как орган мышления,REFLECT_GENERAL,раздумывал о жизни,раздумывал о жизни,EXTENDED,manual_expanded,1,пограничная формула: проверять вручную,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_184,голова / ум как орган мышления,REFLECT_GENERAL,раздумывал о войне,раздумывал о войне,EXTENDED,manual_expanded,1,пограничная формула: проверять вручную,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_185,голова / ум как орган мышления,REFLECT_GENERAL,раздумывал о доме,раздумывал о доме,EXTENDED,manual_expanded,1,пограничная формула: проверять вручную,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_186,голова / ум как орган мышления,REFLECT_GENERAL,раздумывал о своем,раздумывал о своем,EXTENDED,manual_expanded,1,пограничная формула: проверять вручную,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_187,голова / ум как орган мышления,REFLECT_GENERAL,молча раздумывал,молча раздумывал,EXTENDED,manual_expanded,1,пограничная формула: проверять вручную,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_188,голова / ум как орган мышления,REFLECT_GENERAL,тяжело раздумывал,тяжело раздумывал,EXTENDED,manual_expanded,1,пограничная формула: проверять вручную,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_189,голова / ум как орган мышления,REFLECT_GENERAL,мучительно раздумывал,мучительно раздумывал,EXTENDED,manual_expanded,1,пограничная формула: проверять вручную,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_190,голова / ум как орган мышления,REFLECT_GENERAL,невесело раздумывал,невесело раздумывал,EXTENDED,manual_expanded,1,пограничная формула: проверять вручную,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_191,голова / ум как орган мышления,REFLECT_GENERAL,размышлял над этим,размышлял над этим,EXTENDED,manual_expanded,1,пограничная формула: проверять вручную,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_192,голова / ум как орган мышления,REFLECT_GENERAL,размышлял о прошлом,размышлял о прошлом,EXTENDED,manual_expanded,1,пограничная формула: проверять вручную,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_193,голова / ум как орган мышления,REFLECT_GENERAL,размышлял о будущем,размышлял о будущем,EXTENDED,manual_expanded,1,пограничная формула: проверять вручную,расширенный фразовый маркер для поиска когнитивных контекстов
