marker_id,marker_source,microtheme,phrase_family,unit_type,unit_raw,unit_norm,marker_label,precision_level,source_type,enabled,risk_comment,comment
PHR_051,PHRASE,память / воспоминание,REMEMBER,PHRASE,сразу вспомнить,сразу вспомнить,сразу вспомнить [память / воспоминание],CORE,manual_existing,1,,быстрое воспоминание
PHR_052,PHRASE,память / воспоминание,REMEMBER,PHRASE,припомнить вдруг,припомнить вдруг,припомнить вдруг [память / воспоминание],CORE,manual_existing,1,,внезапное припоминание
PHR_053,PHRASE,память / воспоминание,REMEMBER,PHRASE,припомнить всё,припомнить всё,припомнить всё [память / воспоминание],CORE,manual_existing,1,,полное припоминание
PHR_054,PHRASE,память / воспоминание,MEMORY_SURFACE,PHRASE,всплыть в памяти,всплыть в память,всплыть в памяти [память / воспоминание],CORE,manual_existing,1,,восстановление в памяти
PHR_055,PHRASE,память / воспоминание,MEMORY_SURFACE,PHRASE,воскреснуть в памяти,воскреснуть в память,воскреснуть в памяти [память / воспоминание],CORE,manual_existing,1,,восстановление в памяти
PHR_056,PHRASE,память / воспоминание,MEMORY_SURFACE,PHRASE,остаться в памяти,остаться в память,остаться в памяти [память / воспоминание],CORE,manual_existing,1,,удержание памяти
PHR_057,PHRASE,память / воспоминание,MEMORY_SURFACE,PHRASE,держать в памяти,держать в память,держать в памяти [память / воспоминание],CORE,manual_existing,1,,удержание памяти
PHR_058,PHRASE,память / воспоминание,MEMORY_SURFACE,PHRASE,хранить в памяти,хранить в память,хранить в памяти [память / воспоминание],CORE,manual_existing,1,,удержание памяти
PHR_059,PHRASE,память / воспоминание,MEMORY_SURFACE,PHRASE,пришло на память,прийти на память,пришло на память [память / воспоминание],CORE,manual_existing,1,,формула воспоминания
PHR_060,PHRASE,память / воспоминание,ПАМЯТЬ_ВОСПОМИНАНИЕ,PHRASE,не забывать,не забывать,не забывать [память / воспоминание],CORE,manual_existing,1,,отрицательная память
PHR_061,PHRASE,понимание / ясность,BECOME_CLEAR,PHRASE,стало ясно,стать ясно,стало ясно [понимание / ясность],CORE,manual_existing,1,,исходный пример руководителя
PHR_062,PHRASE,понимание / ясность,ПОНИМАНИЕ_ЯСНОСТЬ,PHRASE,сделалось ясно,сделаться ясно,сделалось ясно [понимание / ясность],CORE,manual_existing,1,,вариант ясности
PHR_063,PHRASE,понимание / ясность,ПОНИМАНИЕ_ЯСНОСТЬ,PHRASE,стало понятно,стать понятно,стало понятно [понимание / ясность],CORE,manual_existing,1,,формула понимания
PHR_064,PHRASE,понимание / ясность,ПОНИМАНИЕ_ЯСНОСТЬ,PHRASE,сделалось понятно,сделаться понятно,сделалось понятно [понимание / ясность],CORE,manual_existing,1,,формула понимания
PHR_065,PHRASE,понимание / ясность,UNDERSTAND,PHRASE,понять наконец,понять наконец,понять наконец [понимание / ясность],CORE,manual_existing,1,,завершение понимания
PHR_066,PHRASE,понимание / ясность,UNDERSTAND,PHRASE,наконец понять,наконец понять,наконец понять [понимание / ясность],CORE,manual_existing,1,,завершение понимания
PHR_067,PHRASE,понимание / ясность,UNDERSTAND,PHRASE,вдруг понять,вдруг понять,вдруг понять [понимание / ясность],CORE,manual_existing,1,,внезапное понимание
PHR_068,PHRASE,понимание / ясность,UNDERSTAND,PHRASE,сразу понять,сразу понять,сразу понять [понимание / ясность],CORE,manual_existing,1,,быстрое понимание
PHR_069,PHRASE,понимание / ясность,UNDERSTAND,PHRASE,ясно понять,ясно понять,ясно понять [понимание / ясность],CORE,manual_existing,1,,осознанное понимание
PHR_070,PHRASE,понимание / ясность,UNDERSTAND,PHRASE,понять одно,понять один,понять одно [понимание / ясность],CORE,manual_existing,1,,формула вывода
PHR_071,PHRASE,понимание / ясность,HEAD_MIND,PHRASE,уразуметь наконец,уразуметь наконец,уразуметь наконец [понимание / ясность],CORE,manual_existing,1,,понимание
PHR_072,PHRASE,понимание / ясность,ПОНИМАНИЕ_ЯСНОСТЬ,PHRASE,дошло до сознания,дойти до сознание,дошло до сознания [понимание / ясность],CORE,manual_existing,1,,осознание
PHR_073,PHRASE,понимание / ясность,ПОНИМАНИЕ_ЯСНОСТЬ,PHRASE,дошло до него,дойти до он,дошло до него [понимание / ясность],CORE,manual_existing,1,,осознание через местоимение
PHR_074,PHRASE,понимание / ясность,PRACTICAL_INTELLECTION,PHRASE,догадаться сразу,догадаться сразу,догадаться сразу [понимание / ясность],CORE,manual_existing,1,,быстрая догадка
PHR_075,PHRASE,понимание / ясность,PRACTICAL_INTELLECTION,PHRASE,догадаться вдруг,догадаться вдруг,догадаться вдруг [понимание / ясность],CORE,manual_existing,1,,внезапная догадка
PHR_076,PHRASE,решение / намерение,DECIDE,PHRASE,принять решение,принять решение,принять решение [решение / намерение],CORE,manual_existing,1,,принятие решения
PHR_077,PHRASE,решение / намерение,DECIDE,PHRASE,решил окончательно,решить окончательно,решил окончательно [решение / намерение],CORE,manual_existing,1,,окончательное решение
PHR_078,PHRASE,решение / намерение,DECIDE,PHRASE,окончательно решил,окончательно решить,окончательно решил [решение / намерение],CORE,manual_existing,1,,окончательное решение
PHR_079,PHRASE,решение / намерение,DECIDE,PHRASE,твердо решил,твердо решить,твердо решил [решение / намерение],CORE,manual_existing,1,,твердое решение
PHR_080,PHRASE,решение / намерение,DECIDE,PHRASE,решил идти,решить идти,решил идти [решение / намерение],CORE,manual_existing,1,,решение действия
PHR_081,PHRASE,решение / намерение,DECIDE,PHRASE,решил сделать,решить сделать,решил сделать [решение / намерение],CORE,manual_existing,1,,решение действия
PHR_082,PHRASE,решение / намерение,DECIDE,PHRASE,решиться на,решиться на,решиться на [решение / намерение],CORE,manual_existing,1,,волевое решение
PHR_083,PHRASE,решение / намерение,THINK_GENERAL,PHRASE,надумал идти,надумать идти,надумал идти [решение / намерение],CORE,manual_existing,1,,намерение
PHR_084,PHRASE,решение / намерение,THINK_GENERAL,PHRASE,надумал сделать,надумать сделать,надумал сделать [решение / намерение],CORE,manual_existing,1,,намерение
PHR_085,PHRASE,решение / намерение,THINK_GENERAL,PHRASE,задумал сделать,задумать сделать,задумал сделать [решение / намерение],CORE,manual_existing,1,,замысел
PHR_086,PHRASE,решение / намерение,РЕШЕНИЕ_НАМЕРЕНИЕ,PHRASE,собрался идти,собраться идти,собрался идти [решение / намерение],CORE,manual_existing,1,,намерение
PHR_087,PHRASE,решение / намерение,THINK_GENERAL,PHRASE,передумал идти,передумать идти,передумал идти [решение / намерение],CORE,manual_existing,1,,смена решения
PHR_088,PHRASE,сомнение / колебание,СОМНЕНИЕ_КОЛЕБАНИЕ,PHRASE,взять сомнение,взять сомнение,взять сомнение [сомнение / колебание],CORE,manual_existing,1,,появление сомнения
PHR_089,PHRASE,сомнение / колебание,СОМНЕНИЕ_КОЛЕБАНИЕ,PHRASE,сомнение взяло,сомнение взять,сомнение взяло [сомнение / колебание],CORE,manual_existing,1,,инверсивный вариант
PHR_090,PHRASE,сомнение / колебание,OBSESSIVE_THOUGHT,PHRASE,мучить сомнение,мучить сомнение,мучить сомнение [сомнение / колебание],CORE,manual_existing,1,,состояние сомнения
PHR_091,PHRASE,сомнение / колебание,СОМНЕНИЕ_КОЛЕБАНИЕ,PHRASE,быть в сомнении,быть в сомнение,быть в сомнении [сомнение / колебание],CORE,manual_existing,1,,состояние сомнения
PHR_092,PHRASE,сомнение / колебание,СОМНЕНИЕ_КОЛЕБАНИЕ,PHRASE,оставаться в сомнении,оставаться в сомнение,оставаться в сомнении [сомнение / колебание],CORE,manual_existing,1,,состояние сомнения
PHR_093,PHRASE,сомнение / колебание,THINK_GENERAL,PHRASE,не знать что думать,не знать что думать,не знать что думать [сомнение / колебание],CORE,manual_existing,1,,метарефлексия
PHR_094,PHRASE,сомнение / колебание,HESITATE,PHRASE,колебаться между,колебаться между,колебаться между [сомнение / колебание],CORE,manual_existing,1,,колебание выбора
PHR_095,PHRASE,сомнение / колебание,DOUBT,PHRASE,засомневаться в,засомневаться в,засомневаться в [сомнение / колебание],CORE,manual_existing,1,,начало сомнения
PHR_125,PHRASE,процесс размышления,THINK_GENERAL,PHRASE,стал думать,стать думать,стал думать [процесс размышления],CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_126,PHRASE,процесс размышления,THINK_GENERAL,PHRASE,начал думать,начал думать,начал думать [процесс размышления],CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_127,PHRASE,процесс размышления,THINK_GENERAL,PHRASE,начала думать,начала думать,начала думать [процесс размышления],CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_128,PHRASE,процесс размышления,THINK_GENERAL,PHRASE,принялся думать,принялся думать,принялся думать [процесс размышления],CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_129,PHRASE,процесс размышления,THINK_GENERAL,PHRASE,принялась думать,принялась думать,принялась думать [процесс размышления],CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_130,PHRASE,процесс размышления,THINK_GENERAL,PHRASE,сидел и думал,сидел и думать,сидел и думал [процесс размышления],CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_131,PHRASE,процесс размышления,THINK_GENERAL,PHRASE,лежал и думал,лежал и думать,лежал и думал [процесс размышления],CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_132,PHRASE,процесс размышления,THINK_GENERAL,PHRASE,ехал и думал,ехал и думать,ехал и думал [процесс размышления],CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_133,PHRASE,процесс размышления,THINK_GENERAL,PHRASE,шел и думал,шел и думать,шел и думал [процесс размышления],CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_134,PHRASE,процесс размышления,THINK_GENERAL,PHRASE,молчал и думал,молчал и думать,молчал и думал [процесс размышления],CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_135,PHRASE,процесс размышления,THINK_GENERAL,PHRASE,думал о случившемся,думать о случившемся,думал о случившемся [процесс размышления],CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_136,PHRASE,процесс размышления,THINK_GENERAL,PHRASE,думал об этом,думать об этом,думал об этом [процесс размышления],CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_137,PHRASE,процесс размышления,THINK_GENERAL,PHRASE,думал о своем,думать о своем,думал о своем [процесс размышления],CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_138,PHRASE,процесс размышления,THINK_GENERAL,PHRASE,думал о прошлом,думать о прошлом,думал о прошлом [процесс размышления],CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_139,PHRASE,процесс размышления,THINK_GENERAL,PHRASE,думал о будущем,думать о будущем,думал о будущем [процесс размышления],CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_140,PHRASE,процесс размышления,THINK_GENERAL,PHRASE,думал о жизни,думать о жизни,думал о жизни [процесс размышления],CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_141,PHRASE,процесс размышления,THINK_GENERAL,PHRASE,думал о смерти,думать о смерти,думал о смерти [процесс размышления],CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_142,PHRASE,процесс размышления,THINK_GENERAL,PHRASE,думал о войне,думать о войне,думал о войне [процесс размышления],CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_143,PHRASE,процесс размышления,THINK_GENERAL,PHRASE,думал о доме,думать о доме,думал о доме [процесс размышления],CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_144,PHRASE,процесс размышления,THINK_GENERAL,PHRASE,думал о семье,думать о семье,думал о семье [процесс размышления],CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_145,PHRASE,процесс размышления,THINK_GENERAL,PHRASE,думал о Наталье,думать о наталье,думал о Наталье [процесс размышления],CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_146,PHRASE,процесс размышления,THINK_GENERAL,PHRASE,думал об Аксинье,думать об аксинье,думал об Аксинье [процесс размышления],CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_147,PHRASE,процесс размышления,THINK_GENERAL,PHRASE,мрачно думал,мрачно думать,мрачно думал [процесс размышления],CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_148,PHRASE,процесс размышления,THINK_GENERAL,PHRASE,угрюмо думал,угрюмо думать,угрюмо думал [процесс размышления],CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_149,PHRASE,процесс размышления,THINK_INTENSIVE,PHRASE,мучительно думал,мучительно думать,мучительно думал [процесс размышления],CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_150,PHRASE,процесс размышления,THINK_GENERAL,PHRASE,напряженно думал,напряженно думать,напряженно думал [процесс размышления],CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_151,PHRASE,процесс размышления,THINK_GENERAL,PHRASE,неспокойно думал,неспокойно думать,неспокойно думал [процесс размышления],CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_152,PHRASE,процесс размышления,THINK_GENERAL,PHRASE,горько думал,горько думать,горько думал [процесс размышления],CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_153,PHRASE,процесс размышления,THINK_GENERAL,PHRASE,тревожно думал,тревожно думать,тревожно думал [процесс размышления],CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_154,PHRASE,процесс размышления,THINK_GENERAL,PHRASE,упорно думал,упорно думать,упорно думал [процесс размышления],CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_155,PHRASE,процесс размышления,THINK_GENERAL,PHRASE,безотвязно думал,безотвязно думать,безотвязно думал [процесс размышления],CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_156,PHRASE,процесс размышления,THINK_GENERAL,PHRASE,неотступно думал,неотступно думать,неотступно думал [процесс размышления],CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_157,PHRASE,процесс размышления,THINK_GENERAL,PHRASE,думал всю дорогу,думать всю дорогу,думал всю дорогу [процесс размышления],CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_158,PHRASE,процесс размышления,THINK_GENERAL,PHRASE,думал всю ночь,думать всю ночь,думал всю ночь [процесс размышления],CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_159,PHRASE,процесс размышления,THINK_GENERAL,PHRASE,думал до утра,думать до утра,думал до утра [процесс размышления],CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_160,PHRASE,процесс размышления,THINK_GENERAL,PHRASE,думал молча,думать молча,думал молча [процесс размышления],CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_161,PHRASE,процесс размышления,THINK_GENERAL,PHRASE,думал тяжко,думать тяжко,думал тяжко [процесс размышления],CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_162,PHRASE,процесс размышления,THINK_GENERAL,PHRASE,думал хмуро,думать хмуро,думал хмуро [процесс размышления],CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_163,PHRASE,процесс размышления,THINK_GENERAL,PHRASE,думал сердито,думать сердито,думал сердито [процесс размышления],CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_164,PHRASE,процесс размышления,THINK_GENERAL,PHRASE,думал с тоской,думать с тоской,думал с тоской [процесс размышления],CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_165,PHRASE,процесс размышления,THINK_GENERAL,PHRASE,думал с тревогой,думать с тревогой,думал с тревогой [процесс размышления],CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_166,PHRASE,процесс размышления,THINK_GENERAL,PHRASE,думал с горечью,думать с горечью,думал с горечью [процесс размышления],CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_167,PHRASE,процесс размышления,THINK_GENERAL,PHRASE,думал о казаках,думать о казаках,думал о казаках [процесс размышления],CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_168,PHRASE,процесс размышления,THINK_GENERAL,PHRASE,думал о хуторе,думать о хуторе,думал о хуторе [процесс размышления],CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_169,PHRASE,процесс размышления,THINK_GENERAL,PHRASE,думал о Доне,думать о доне,думал о Доне [процесс размышления],CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_170,PHRASE,процесс размышления,THINK_GENERAL,PHRASE,думал о фронте,думать о фронте,думал о фронте [процесс размышления],CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_171,PHRASE,процесс размышления,THINK_GENERAL,PHRASE,думал о судьбе,думать о судьбе,думал о судьбе [процесс размышления],CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_172,PHRASE,процесс размышления,THINK_GENERAL,PHRASE,думал над этим,думать над этим,думал над этим [процесс размышления],CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_173,PHRASE,процесс размышления,THINK_GENERAL,PHRASE,думал над словами,думать над словами,думал над словами [процесс размышления],CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_174,PHRASE,процесс размышления,THINK_GENERAL,PHRASE,думал над ответом,думать над ответом,думал над ответом [процесс размышления],CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_175,PHRASE,процесс размышления,THINK_GENERAL,PHRASE,думал над поступком,думать над поступком,думал над поступком [процесс размышления],CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_176,PHRASE,процесс размышления,THINK_GENERAL,PHRASE,думал над решением,думать над решением,думал над решением [процесс размышления],CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_216,PHRASE,инициация мысли,ИНИЦИАЦИЯ_МЫСЛИ,PHRASE,пришла ему мысль,прийти ему мысль,пришла ему мысль [инициация мысли],CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_217,PHRASE,инициация мысли,COME_TO_MIND,PHRASE,пришла в голову мысль,прийти в голова мысль,пришла в голову мысль [инициация мысли],CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_218,PHRASE,инициация мысли,COME_TO_MIND,PHRASE,пришло ему в голову,прийти ему в голова,пришло ему в голову [инициация мысли],CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_219,PHRASE,инициация мысли,COME_TO_MIND,PHRASE,в голову пришло,в голова прийти,в голову пришло [инициация мысли],CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_220,PHRASE,инициация мысли,COME_TO_MIND,PHRASE,в голову ему пришло,в голова ему прийти,в голову ему пришло [инициация мысли],CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
PHR_221,PHRASE,инициация мысли,FLASH_THOUGHT,PHRASE,мелькнула у него мысль,мелькнуть у него мысль,мелькнула у него мысль [инициация мысли],CORE,manual_expanded,1,,расширенный фразовый маркер для поиска когнитивных контекстов
