sent_id,sent_text,word_count,encoding
21,"Казаки сдержанно посмеивались в бороды, голосисто перекликались бабы, орда немытых казачат улюлюкала Прокофию вслед, но он, распахнув чекмень, шел медленно, как по пахотной борозде, сжимал в черной ладони хрупкую кисть жениной руки, непокорно нес белесо-чубатую голову, — лишь под скулами у него пухли и катались желваки да промеж каменных, по всегдашней неподвижности, бровей проступал пот.",54,utf-8
22,"С той поры редко видели его в хуторе, не бывал он и на майдане.",14,utf-8
23,"Жил в своем курене, на отшибе у Дона, бирюком.",9,utf-8
24,Гутарили про него по хутору чудно́е.,6,utf-8
25,"Ребятишки, пасшие за прогоном телят, рассказывали, будто видели они, как Прокофий вечерами, когда вянут зори, на руках носил жену до Татарского ажник кургана.",23,utf-8
26,"Сажал ее там на макушке кургана, спиной к источенному столетиями ноздреватому камню, садился с ней рядом, и так подолгу глядели они в степь.",23,utf-8
27,"Глядели до тех пор, пока истухала заря, а потом Прокофий кутал жену в зипун и на руках относил домой.",19,utf-8
28,"Хутор терялся в догадках, подыскивая объяснение таким диковинным поступкам, бабам за разговорами поискаться некогда было.",15,utf-8
29,"Разно гутарили и о жене Прокофия: одни утверждали, что красоты она досель невиданной, другие — наоборот.",15,utf-8
30,"Решилось все после того, как самая отчаянная из баб, жалмерка Мавра, сбегала к Прокофию будто бы за свежей накваской.",19,utf-8
31,"Прокофий полез за накваской в погреб, а за это время Мавра и разглядела, что турчанка попалась Прокофию последняя из никудышных…",20,utf-8
32,"Спустя время раскрасневшаяся Мавра, с платком, съехавшим набок, торочила на проулке бабьей толпе:
— И что он, милушки, нашел в ней хорошего?",21,utf-8
33,"Хоть бы баба была, а то так…",7,utf-8
34,"Ни заду, ни пуза, одна страма.",6,utf-8
35,У нас девки глаже ее выгуливаются.,6,utf-8
36,"В стану — перервать можно, как оса; глазюки — черные, здоровющие, стригеть ими, как Сатана, прости Бог.",15,utf-8
37,"Должно, на сносях дохаживает, ей-бо!",5,utf-8
38,— На сносях? — дивились бабы.,4,utf-8
39,"— Кубыть, не махонькая, сама трех вынянчила.",6,utf-8
40,— А с лица как?,4,utf-8
41,— С лица-то?,2,utf-8
42,Желтая.,1,utf-8
43,"Глаза тусменныи, — небось не сладко на чужой сторонушке.",8,utf-8
44,"А ишо, бабоньки, ходит-то она… в Прокофьевых шароварах.",8,utf-8
45,— Ну-у?.. — ахали бабы испуганно и дружно.,6,utf-8
46,"— Сама видала — в шароварах, тольки без лампасин.",7,utf-8
47,"Должно, буднишние его подцепила.",4,utf-8
48,"Длинная на ней рубаха, а из-под рубахи шаровары, в чулки вобратые.",11,utf-8
49,"Я как разглядела, так и захолонуло во мне…",8,utf-8
50,"Шепотом гутарили по хутору, что Прокофьева жена ведьмачит.",8,utf-8
51,"Сноха Астаховых (жили Астаховы от хутора крайние к Прокофию) божилась, будто на второй день Троицы, перед светом, видела, как Прокофьева жена, простоволосая и босая, доила на их базу корову.",29,utf-8
52,"С тех пор ссохлось у коровы вымя в детский кулачок, отбила от молока и вскоре издохла.",16,utf-8
53,В тот год случился небывалый падеж скота.,7,utf-8
54,На стойле возле Дона каждый день пятнилась песчаная коса трупами коров и молодняка.,13,utf-8
55,Падеж перекинулся на лошадей.,4,utf-8
56,"Таяли конские косяки, гулявшие на станичном отводе.",7,utf-8
57,И вот тут-то прополз по проулкам и улицам черный слушок…,10,utf-8
58,С хуторского схода пришли казаки к Прокофию.,7,utf-8
59,"Хозяин вышел на крыльцо, кланяясь.",5,utf-8
60,"— За чем добрым пожаловали, господа старики?",6,utf-8
61,"Толпа, подступая к крыльцу, немо молчала.",6,utf-8
62,"Наконец один подвыпивший старик первый крикнул:
— Волоки нам свою ведьму!",10,utf-8
63,Суд наведем!..,2,utf-8
64,"Прокофий кинулся в дом, но в сенцах его догнали.",9,utf-8
65,"Рослый батареец, по уличному прозвищу — Люшня, стукал Прокофия головой о стену, уговаривал:
— Не шуми, не шуми, нечего тут!..",18,utf-8
66,"Тебя не тронем, а бабу твою в землю втолочим.",9,utf-8
67,"Лучше ее уничтожить, чем всему хутору без скотины гибнуть.",9,utf-8
68,"А ты не шуми, а то головой стену развалю!",9,utf-8
69,"— Тяни ее, суку, на баз!.. — гахнули у крыльца.",8,utf-8
70,"Полчанин Прокофия, намотав на руку волосы турчанки, другой рукой зажимая рот ее, распяленный в крике, бегом протащил ее через сени и кинул под ноги толпе.",25,utf-8
71,Тонкий вскрик просверлил ревущие голоса.,5,utf-8
72,"Прокофий раскидал шестерых казаков и, вломившись в горницу, сорвал со стены шашку.",12,utf-8
73,"Давя друг друга, казаки шарахнулись из сенцев.",7,utf-8
74,"Кружа над головой мерцающую, взвизгивающую шашку, Прокофий сбежал с крыльца.",10,utf-8
75,Толпа дрогнула и рассыпалась по двору.,6,utf-8
76,"У амбара Прокофий настиг тяжелого в беге батарейца Люшню и сзади, с левого плеча наискось, развалил его до пояса.",19,utf-8
77,"Казаки, выламывавшие из плетня колья, сыпанули через гумно в степь.",10,utf-8
78,Через полчаса осмелевшая толпа подступила ко двору.,7,utf-8
79,"Двое разведчиков, пожимаясь, вошли в сенцы.",6,utf-8
80,"На пороге кухни, подплывшая кровью, неловко запрокинув голову, лежала Прокофьева жена; в прорези мученически оскаленных зубов ее ворочался искусанный язык.",20,utf-8
81,"Прокофий, с трясущейся головой и остановившимся взглядом, кутал в овчинную шубу попискивающий комочек — преждевременно родившегося ребенка.",16,utf-8
82,"* * *
Жена Прокофия умерла вечером этого же дня.",7,utf-8
83,"Недоношенного ребенка, сжалившись, взяла бабка, Прокофьева мать.",7,utf-8
84,"Его обложили пареными отрубями, поили кобыльим молоком и через месяц, убедившись в том, что смуглый турковатый мальчонок выживет, понесли в церковь, окрестили.",22,utf-8
85,Назвали по деду Пантелеем.,4,utf-8
86,Прокофий вернулся с каторги через двенадцать лет.,7,utf-8
87,"Подстриженная рыжая с проседью борода и обычная русская одежда делали его чужим, непохожим на казака.",15,utf-8
88,Он взял сына и стал на хозяйство.,7,utf-8
89,"Пантелей рос исчерна-смуглым, бедовым.",4,utf-8
90,Схож был на мать лицом и подбористой фигурой.,8,utf-8
91,Женил его Прокофий на казачке — дочери соседа.,7,utf-8
92,С тех пор и пошла турецкая кровь скрещиваться с казачьей.,10,utf-8
93,"Отсюда и повелись в хуторе горбоносые, диковато-красивые казаки Мелеховы, а по-уличному — Турки.",12,utf-8
94,"Похоронив отца, въелся Пантелей в хозяйство: заново покрыл дом, прирезал к усадьбе с полдесятины гулевой земли, выстроил новые сараи и амбар под жестью.",23,utf-8
95,"Кровельщик по хозяйскому заказу вырезал из обрезков пару жестяных петухов, укрепил их на крыше амбара.",15,utf-8
96,"Веселили они мелеховский баз беспечным своим видом, придавая и ему вид самодовольный и зажиточный.",14,utf-8
97,"Под уклон сползавших годков закряжистел Пантелей Прокофьевич: раздался в ширину, чуть ссутулился, но все же выглядел стариком складным.",18,utf-8
98,"Был сух в кости, хром (в молодости на императорском смотру на скачках сломал левую ногу), носил в левом ухе серебряную полумесяцем серьгу, до старости не слиняли на нем вороной масти борода и волосы, в гневе доходил до беспамятства и, как видно, этим раньше времени состарил свою когда-то красивую, а теперь сплошь опутанную паутиной морщин, дородную жену.",56,utf-8
99,"Старший, уже женатый сын его Петро напоминал мать: небольшой, курносый, в буйной повители пшеничного цвета волос, кареглазый; а младший, Григорий в отца попер: на полголовы выше Петра, хоть на шесть лет моложе, такой же, как у бати, вислый коршунячий нос, в чуть косых прорезях подсиненные миндалины горячих глаз, острые плиты скул обтянуты коричневой румянеющей кожей.",55,utf-8
100,"Так же сутулился Григорий, как и отец, даже в улыбке было у обоих общее, звероватое.",15,utf-8
101,"Дуняшка — отцова слабость — длиннорукий, большеглазый подросток, да Петрова жена Дарья с малым дитем — вот и вся мелеховская семья.",18,utf-8
102,"II
Редкие в пепельном рассветном небе зыбились звезды.",8,utf-8
103,Из-под туч тянул ветер.,4,utf-8
104,"Над Доном на дыбах ходил туман и, пластаясь по откосу меловой горы, сползал в яры серой безголовой гадюкой.",18,utf-8
105,"Левобережное Обдонье, пески, ендовы, камышистая непролазь, лес в росе — полыхали исступленным холодным заревом.",13,utf-8
106,"За чертой, не всходя, томилось солнце.",6,utf-8
107,В мелеховском курене первый оторвался ото сна Пантелей Прокофьевич.,9,utf-8
108,"Застегивая на ходу ворот расшитой крестиками рубахи, вышел на крыльцо.",10,utf-8
109,Затравевший двор выложен росным серебром.,5,utf-8
110,Выпустил на проулок скотину.,4,utf-8
111,Дарья в исподнице пробежала доить коров.,6,utf-8
112,"На икры белых босых ее ног молозивом брызгала роса, по траве через баз лег дымчатый примятый след.",17,utf-8
113,"Пантелей Прокофьевич поглядел, как прямится примятая Дарьиными ногами трава, пошел в горницу.",12,utf-8
114,На подоконнике распахнутого окна мертвенно розовели лепестки отцветавшей в палисаднике вишни.,11,utf-8
115,"Григорий спал ничком, кинув наотмашь руку.",6,utf-8
116,"— Гришка, рыбалить поедешь?",3,utf-8
117,— Чего ты? — шепотом спросил тот и свесил с кровати ноги.,10,utf-8
118,"— Поедем, посидим зорю.",3,utf-8
119,"Григорий, посапывая, стянул с подвески будничные шаровары, вобрал их в белые шерстяные чулки и долго надевал чирик, выправляя подвернувшийся задник.",20,utf-8
120,"— А приваду маманя варила? — сипло спросил он, выходя за отцом в сенцы.",12,utf-8
121,— Варила.,1,utf-8
122,"Иди к баркасу, я зара́з.",5,utf-8
123,"Старик ссыпал в кубышку распаренное пахучее жито, по-хозяйски смел на ладонь упавшие зерна и, припадая на левую ногу, захромал к спуску.",21,utf-8
124,"Григорий, нахохлясь, сидел в баркасе.",5,utf-8
125,— Куда править?,2,utf-8
126,— К Черному яру.,3,utf-8
127,"Спробуем возле энтой ка́рши, где надысь сидели.",7,utf-8
128,"Баркас, черканув кормою землю, осел в воду, оторвался от берега.",10,utf-8
129,"Стремя понесло его, покачивая, норовя повернуть боком.",7,utf-8
130,"Григорий, не огребаясь, правил веслом.",5,utf-8
131,"— Гребани, что ль.",3,utf-8
132,— А вот на середку выберемся.,5,utf-8
133,"Пересекая быстрину, баркас двинулся к левому берегу.",7,utf-8
134,От хутора догоняли их глухие на воде петушиные переклики.,9,utf-8
135,"Чертя бортом черный хрящеватый яр, лежавший над водой урубом, баркас причалил к котловине.",13,utf-8
136,Саженях в пяти от берега виднелись из воды раскоряченные ветви затонувшего вяза.,12,utf-8
137,Вокруг него коловерть гоняла бурые комья пены.,7,utf-8
138,"— Разматывай, а я заприважу, — шепнул Григорию отец и сунул ладонь в парное зевло кубышки.",14,utf-8
139,"Жито четко брызнуло по воде, словно кто вполголоса шепнул — «шик!».",10,utf-8
140,"Григорий нанизал на крючок взбухшие зерна, улыбнулся.",7,utf-8
141,"— Ловись, ловись, рыбка большая и малая.",6,utf-8
142,"Леса, упавшая в воду кругами, вытянулась струной и снова ослабла, едва грузило коснулось дна.",14,utf-8
143,"Григорий ногой придавил конец удилища, полез, стараясь не шелохнуться, за кисетом.",11,utf-8
144,"— Не будет, батя, дела…",4,utf-8
145,Месяц на ущербе.,3,utf-8
146,— Серники захватил?,2,utf-8
147,— Ага.,1,utf-8
148,— Дай огню.,2,utf-8
149,"Старик закурил, поглядел на солнце, застрявшее по ту сторону коряги.",10,utf-8
150,"— Сазан, он разно берет.",4,utf-8
151,И на ущербе иной раз возьмется.,6,utf-8
152,"— Чýтно, мелочь насадку обсекает, — вздохнул Григорий.",6,utf-8
153,"Возле баркаса, хлюпнув, схлынула вода, и двухаршинный, словно слитый из красной меди, сазан со стоном прыгнул вверх, сдвоив по воде изогнутым лопушистым хвостом.",23,utf-8
154,Зернистые брызги засеяли баркас.,4,utf-8
155,— Теперя жди!,2,utf-8
156,— Пантелей Прокофьевич вытер рукавом мокрую бороду.,6,utf-8
157,"Около затонувшего вяза, в рукастых оголенных ветвях одновременно выпрыгнули два сазана; третий, поменьше, ввинчиваясь в воздух, настойчиво раз за разом бился у яра.",23,utf-8
158,"* * *
Григорий нетерпеливо жевал размокший конец самокрутки.",6,utf-8
159,Неяркое солнце стало в полдуба.,5,utf-8
160,"Пантелей Прокофьевич израсходовал всю приваду и, недовольно подобрав губы, тупо глядел на недвижный конец удилища.",15,utf-8
161,"Григорий выплюнул остаток цигарки, злобно проследил за стремительным его полетом.",10,utf-8
162,"В душе он ругал отца за то, что разбудил спозаранку, не дал выспаться.",13,utf-8
163,Во рту от выкуренного натощак табаку воняло припаленной щетиной.,9,utf-8
164,"Нагнулся было зачерпнуть в пригоршню воды, — в это время конец удилища, торчавший на пол-аршина от воды, слабо качнулся, медленно пополз книзу.",21,utf-8
165,— Засекай! — выдохнул старик.,3,utf-8
166,"Григорий, встрепенувшись, потянул удилище, но конец стремительно зарылся в воду, удилище согнулось от руки обручем.",15,utf-8
167,"Словно воротом, огромная сила тянула вниз тугое красноталовое удилище.",9,utf-8
168,"— Держи! — стонал старик, отпихивая баркас от берега.",7,utf-8
169,Григорий силился поднять удилище и не мог.,7,utf-8
170,"Сухо чмокнув, лопнула толстая леса.",5,utf-8
171,"Григорий качнулся, теряя равновесие.",4,utf-8
172,"— Ну и бугай! — пришептывал Пантелей Прокофьевич, не попадая жалом крючка в насадку.",12,utf-8
173,"Взволнованно посмеиваясь, Григорий навязал новую лесу, закинул.",7,utf-8
174,"Едва грузило достигло дна, конец погнуло.",6,utf-8
175,"— Вот он, дьявол!.. — хмыкнул Григорий, с трудом отрывая от дна метнувшуюся к стремнине рыбу.",14,utf-8
176,"Леса, пронзительно брунжа, зачертила воду, за ней косым зеленоватым полотном вставала вода.",12,utf-8
177,Пантелей Прокофьевич перебирал обрубковатыми пальцами держак черпала.,7,utf-8
178,— Заверни его на воду!,4,utf-8
179,"Держи, а то пилой рубанет!",5,utf-8
180,— Небось!,1,utf-8
181,"Большой изжелта-красный сазан поднялся на поверхность, вспенил воду и, угнув тупую лобастую голову, опять шарахнулся вглубь.",16,utf-8
182,"— Давит, аж рука занемела…",4,utf-8
183,"Нет, погоди!",2,utf-8
184,"— Держи, Гришка!",2,utf-8
185,— Держу-у-у!,1,utf-8
186,"— Гляди, под баркас не пущай!..",5,utf-8
187,Гляди!,1,utf-8
188,"Переводя дух, подвел Григорий к баркасу лежавшего на боку сазана.",10,utf-8
189,"Старик сунулся было с черпалом, но сазан, напрягая последние силы, вновь ушел в глубину.",14,utf-8
190,— Голову ему подымай!,3,utf-8
191,"Нехай глотнет ветру, он посмирнеет.",5,utf-8
192,"Выводив, Григорий снова подтянул к баркасу измученного сазана.",8,utf-8
193,"Зевая широко раскрытым ртом, тот ткнулся носом в шершавый борт и стал, переливая шевелящееся оранжевое золото плавников.",17,utf-8
194,"— Отвоевался! — крякнул Пантелей Прокофьевич, поддевая его черпалом.",7,utf-8
195,Посидели еще с полчаса.,4,utf-8
196,Стихал сазаний бой.,3,utf-8
197,"— Сматывай, Гришка.",2,utf-8
198,"Должно, последнего запрягли, ишо не дождемся.",6,utf-8
199,Собрались.,1,utf-8
200,Григорий оттолкнулся от берега.,4,utf-8
201,Проехали половину пути.,3,utf-8
202,"По лицу отца Григорий видел, что хочет тот что-то сказать, но старик молча поглядывал на разметанные под горой дворы хутора.",20,utf-8
203,"— Ты, Григорий, вот что… — нерешительно начал он, теребя завязки лежавшего под ногами мешка, — примечаю, ты, никак, с Аксиньей Астаховой…",19,utf-8
204,"Григорий густо покраснел, отвернулся.",4,utf-8
205,"Воротник рубахи, врезаясь в мускулистую прижженную солнцегревом шею, выдавил белую полоску.",11,utf-8
206,"— Ты гляди, парень, — уже жестко и зло продолжал старик, — я с тобой не так загутарю.",15,utf-8
207,"Степан нам сосед, и с его бабой не дозволю баловать.",10,utf-8
208,"Тут дело могет до греха взыграть, а я наперед упреждаю: примечу — запорю!",12,utf-8
209,"Пантелей Прокофьевич ссучил пальцы в узловатый кулак, — жмуря выпуклые глаза, глядел, как с лица сына сливала кровь.",17,utf-8
210,"— Наговоры, — глухо, как из воды, буркнул Григорий и прямо в синеватую переносицу поглядел отцу.",14,utf-8
211,— Ты помалкивай.,2,utf-8
212,— Мало что люди гутарют…,4,utf-8
213,"— Цыц, сукин сын!",3,utf-8
214,Григорий слег над веслом.,4,utf-8
215,Баркас заходил скачками.,3,utf-8
216,Завитушками заплясала люлюкающая за кормой вода.,6,utf-8
217,До пристани молчали оба.,4,utf-8
218,"Уже подъезжая к берегу, отец напомнил:
— Гляди, не забудь, а нет — с нонешнего дня прикрыть все игрища.",17,utf-8
219,Чтоб с базу ни шагу.,5,utf-8
220,Так-то!,1,utf-8
221,Промолчал Григорий.,2,utf-8
222,"Примыкая баркас, спросил:
— Рыбу бабам отдать?",6,utf-8
223,"— Понеси купцам продай, — помягчел старик, — на табак разживешься.",8,utf-8
224,"Покусывая губы, шел Григорий позади отца.",6,utf-8
225,"«Выкуси, батя, хоть стреноженный уйду ноне на игрище», — думал, злобно обгрызая глазами крутой отцовский затылок.",15,utf-8
226,"Дома Григорий заботливо смыл с сазаньей чешуи присохший песок, продел сквозь жабры хворостинку.",13,utf-8
227,У ворот столкнулся с давнишним другом-одногодком Митькой Коршуновым.,8,utf-8
228,"Идет Митька, играет концом наборного пояска.",6,utf-8
229,Из узеньких щелок желто маслятся круглые с наглинкой глаза.,9,utf-8
230,"Зрачки — кошачьи, поставленные торчмя, оттого взгляд Митькин текуч, неуловим.",9,utf-8
231,— Куда с рыбой?,3,utf-8
232,— Нонешняя добыча.,2,utf-8
233,Купцам несу.,2,utf-8
234,"— Моховым, что ли?",3,utf-8
235,"— Им.
Митька на глазок взвесил сазана.",6,utf-8
236,— Фунтов пятнадцать?,2,utf-8
237,— С половиной.,2,utf-8
238,На безмене прикинул.,3,utf-8
239,"— Возьми с собой, торговаться буду.",5,utf-8
240,— Пойдем.,1,utf-8
241,— А магарыч?,2,utf-8
242,"— Сладимся, нечего впустую брехать.",4,utf-8
243,От обедни рассыпался по улицам народ.,6,utf-8
244,По дороге рядышком вышагивали три брата по кличке Шамили.,9,utf-8
245,"Старший, безрукий Алексей, шел в середине.",6,utf-8
246,"Тугой воротник мундира прямил ему жилистую шею, редкая, курчавым клинышком, бороденка задорно топорщилась вбок, левый глаз нервически подмаргивал.",18,utf-8
247,"Давно на стрельбище разорвало в руках Алексея винтовку, кусок затвора изуродовал щеку.",12,utf-8
248,"С той поры глаз к делу и не к делу подмигивает; голубой шрам, перепахивая щеку, зарывается в кудели волос.",19,utf-8
249,"Левую руку оторвало по локоть, но и одной крутит Алексей цигарки искусно и без промаха: прижмет кисет к выпуклому заслону груди, зубами оторвет нужный клочок бумаги, согнет его желобком, нагребет табаку и неуловимо поведет пальцами, скручивая.",36,utf-8
250,"Не успеет человек оглянуться, а Алексей, помаргивая, уже жует готовую цигарку и просит огоньку.",14,utf-8
251,"Хоть и безрукий, а первый в хуторе кулачник.",8,utf-8
252,"И кулак не особенно чтоб особенный — так, с тыкву-травянку величиной; а случилось как-то на пахоте на быка осерчать, кнут затерялся, — стукнул кулаком — лег бык на борозде, из ушей кровь, насилу отлежался.",31,utf-8
253,Остальные братья — Мартин и Прохор — до мелочей схожи с Алексеем.,10,utf-8
254,"Такие же низкорослые, шириной в дуб, только рук у каждого по паре.",12,utf-8
255,"Григорий поздоровался с Шамилями, Митька прошел, до хруста отвернув голову.",10,utf-8
256,"На Масленице в кулачной стенке не пожалел Алешка Шамиль молодых Митькиных зубов, махнул наотмашь, и выплюнул Митька на сизый, изодранный кованными каблуками лед два коренных зуба.",26,utf-8
257,"Равняясь с ними, Алексей мигнул раз пять подряд.",8,utf-8
258,— Продай чурбака!,2,utf-8
259,— Купи.,1,utf-8
260,— Почем просишь?,2,utf-8
261,— Пару быков да жену в придачу.,6,utf-8
262,"Алексей, щурясь, замахал обрубком руки:
— Чудак, ах, чудак!..",8,utf-8
263,"Ох-хо-ха, жену…",2,utf-8
264,А приплод возьмешь?,3,utf-8
265,"— Себе на завод оставь, а то Шамили переведутся, — зубоскалил Григорий.",10,utf-8
266,На площади у церковной ограды кучился народ.,7,utf-8
267,"В толпе ктитор[1], поднимая над головой гуся, выкрикивал: «Полтинник!",10,utf-8
268,От-да-ли.,1,utf-8
269,Кто больше?»,2,utf-8
270,"Гусь вертел шеей, презрительно жмурил бирюзинку глаза.",7,utf-8
271,"В кругу рядом махал руками седенький, с крестами и медалями, завесившими грудь, старичок.",13,utf-8
272,— Наш дед Гришака про турецкую войну брешет.,7,utf-8
273,— Митька указал глазами.,3,utf-8
274,— Пойдем послухаем?,2,utf-8
275,"— Покель будем слухать — сазан провоняется, распухнет.",6,utf-8
276,"— Распухнет — весом прибавит, нам выгода.",5,utf-8
277,"На площади, за пожарным сараем, где рассыхаются пожарные бочки с обломанными оглоблями, зеленеет крыша моховского дома.",16,utf-8
278,"Шагая мимо сарая, Григорий сплюнул и зажал нос.",8,utf-8
279,"Из-за бочки, застегивая шаровары — пряжка в зубах, — вылезал старик.",9,utf-8
280,— Приспичило? — съязвил Митька.,3,utf-8
281,Старик управился с последней пуговицей и вынул изо рта пряжку.,10,utf-8
282,— А тебе что?,3,utf-8
283,— Носом навтыкать бы надо!,4,utf-8
284,Бородой!,1,utf-8
285,Бородой!,1,utf-8
286,Чтоб старуха за неделю не отбанила.,6,utf-8
287,"— Я тебе, стерва, навтыкаю! — обиделся старик.",6,utf-8
288,"Митька стал, щуря кошачьи глаза, как от солнца.",8,utf-8
289,1 Ктитор — церковный староста.,4,utf-8
290,"— Ишь ты, благородный какой.",4,utf-8
291,"Сгинь, сукин сын!",3,utf-8
292,Что присучился?,2,utf-8
293,А то и ремнем!,4,utf-8
294,"Посмеиваясь, Григорий подошел к крыльцу моховского дома.",7,utf-8
295,Перила — в густой резьбе дикого винограда.,6,utf-8
296,На крыльце пятнистая ленивая тень.,5,utf-8
297,"— Во, Митрий, живут люди…",4,utf-8
298,— Ручка и то золоченая.,4,utf-8
299,— Митька приоткрыл дверь на террасу и фыркнул: — Деда бы энтого направить сюда…,12,utf-8
300,— Кто там? — окликнули их с террасы.,6,utf-8
301,"Робея, Григорий пошел первый.",4,utf-8
302,Крашеные половицы мел сазаний хвост.,5,utf-8
303,— Вам кого?,2,utf-8
304,В плетеной качалке — девушка.,4,utf-8
305,В руке блюдце с клубникой.,5,utf-8
306,"Григорий молча глядел на розовое сердечко полных губ, сжимавших ягодку.",10,utf-8
307,"Склонив голову, девушка оглядывала пришедших.",5,utf-8
308,На помощь Григорию выступил Митька.,5,utf-8
309,Он кашлянул.,2,utf-8
310,— Рыбки не купите?,3,utf-8
311,— Рыбы?,1,utf-8
312,Я сейчас скажу.,3,utf-8
313,"Она качнула кресло, вставая, — зашлепала вышитыми, надетыми на босые ноги туфлями.",11,utf-8
314,"Солнце просвечивало белое платье, и Митька видел смутные очертания полных ног и широкое волнующееся кружево нижней юбки.",17,utf-8
315,"Он дивился атласной белизне оголенных икр, лишь на круглых пятках кожа молочно желтела.",13,utf-8
316,Митька толкнул Григория.,3,utf-8
317,"— Гля, Гришка, ну и юбка…",5,utf-8
318,"Как скло, насквозь все видать.",5,utf-8
319,"Девушка вышла из коридорных дверей, мягко присела на кресло.",9,utf-8
320,— Пройдите на кухню.,3,utf-8
321,"Ступая на носках, Григорий пошел в дом.",7,utf-8
322,"Митька, отставив ногу, жмурился на белую нитку пробора, разделявшую волосы на ее голове на два золотистых полукруга.",17,utf-8
323,"Девушка оглядела его озорными, неспокойными глазами.",6,utf-8
324,— Вы здешний?,2,utf-8
325,— Тутошний.,1,utf-8
326,— Чей же это?,3,utf-8
327,— Коршунов.,1,utf-8
328,— А звать вас как?,4,utf-8
329,— Митрием.,1,utf-8
330,"Она внимательно осмотрела розовую чешую ногтей, быстрым движением подобрала ноги.",10,utf-8
331,— Кто из вас рыбу ловит?,5,utf-8
332,"— Григорий, друзьяк мой.",3,utf-8
333,— А вы рыбалите?,3,utf-8
334,"— Рыбалю и я, коль охота набредет.",6,utf-8
335,— Удочками?,1,utf-8
336,"— И удочками рыбалим, по-нашему — притугами.",5,utf-8
337,"— Мне бы тоже хотелось порыбалить, — сказала она, помолчав.",8,utf-8
338,"— Что ж, поедем, коль охота есть.",6,utf-8
339,— Как бы это устроить?,4,utf-8
340,"Нет, серьезно?",2,utf-8
341,— Вставать надо дюже рано.,4,utf-8
342,"— Я встану, только разбудить меня надо.",6,utf-8
343,— Разбудить можно…,2,utf-8
344,А отец?,2,utf-8
345,— Что отец?,2,utf-8
346,Митька засмеялся.,2,utf-8
347,— Как бы за вора не почел…,6,utf-8
348,Собаками ишо притравит.,3,utf-8
349,— Глупости!,1,utf-8
350,Я сплю одна в угловой комнате.,6,utf-8
351,Вот это окно.,3,utf-8
352,— Она указала пальцем.,3,utf-8
353,"— Если придете за мной — постучите мне в окошко, и я встану.",11,utf-8
354,"В кухне дробились голоса: робкий — Григория, и густой, мазутный — кухарки.",10,utf-8
355,"Митька, перебирая тусклое серебро казачьего пояска, молчал.",7,utf-8
356,"— Женаты вы? — спросила девушка, тепля затаенную улыбку.",7,utf-8
357,— А что?,2,utf-8
358,"— Так просто, интересно.",3,utf-8
359,"— Нет, холостой.",2,utf-8
360,"Митька внезапно покраснел, а она, играя улыбкой и веточкой осыпавшейся на пол тепличной клубники, спрашивала:
— Что же, Митя, девушки вас любят?",21,utf-8
361,"— Какие любят, а какие и нет.",6,utf-8
362,— Ска-жи-те…,1,utf-8
363,А отчего это у вас глаза как у кота?,9,utf-8
364,— У… кота? — вконец терялся Митька.,5,utf-8
365,"— Вот именно, кошачьи.",3,utf-8
366,"— Это от матери, должно…",4,utf-8
367,Я тут ни при чем.,5,utf-8
368,"— А почему же, Митя, вас не женят?",7,utf-8
