hit_type,marker_id,sent_id,token_idx,token_end_idx,target_lemma,target_surface,sent_text,prev_sent_text,next_sent_text,context_window,overlaps_phrase,phrase_overlap_ids,is_noise,noise_reason,count_in_main_stats,hit_id,marker_label,microtheme,phrase_family,unit_type,marker_source,precision_level,source_type,risk_comment,unit_raw,unit_norm,MelekhovLink,MelekhovEvidence,Perspective,PerspectiveEvidence,PerspectiveConfidence,SpeakerDetected,AddresseeDetected,OthersSpeechAct,BookId,Book,PartId,Part
WORD,ALEX_008,3373,16,16,вспоминать,вспоминая,"Была Наталья до мужниных утех неохоча, при рождении наделила ее мать равнодушной, медлительной кровью, и Григорий, вспоминая исступленную в любви Аксинью, вздыхал:
— Тебя, Наталья, отец, должно, на крыге зачинал…","А оно не так сложилось, и по ночам, по обязанности лаская жену, горяча ее молодой своей любовной ретивостью, встречал Гришка с ее стороны холодок, смущенную покорность.",Дюже леденистая ты.,"А оно не так сложилось, и по ночам, по обязанности лаская жену, горяча ее молодой своей любовной ретивостью, встречал Гришка с ее стороны холодок, смущенную покорность. Была Наталья до мужниных утех неохоча, при рождении наделила ее мать равнодушной, медлительной кровью, и Григорий, вспоминая исступленную в любви Аксинью, вздыхал:
— Тебя, Наталья, отец, должно, на крыге зачинал… Дюже леденистая ты.",False,,False,,True,68,вспоминать [память / воспоминание],память / воспоминание,WORD_ALEXANDROVA,WORD,ALEXANDROVA,CORE,dictionary,,вспоминать,вспоминать,YES,same_sentence:Григорий,NARRATOR_ABOUT_HERO,narrative_context;hero_link=YES,HIGH,NARRATOR,,,1,Книга первая,2,Часть вторая
WORD,S1_001,3401,9,9,думать,думал,"Под глухой перегуд — стон распятой под каменными катками земли — думал Гришка неясные думки, пытался и не мог поймать увиливавшие от сознания скользкие шматочки мыслей.","Он не замечал, как Наталья, помогая Пантелею Прокофьевичу настилать посад снопов, перехватывала каждый невольный взгляд мужа своим тоскующим, ревнивым взглядом; не видел того, как Петро, гонявший по кругу лошадей, взглядывая на него, курносил лицо неприметной, про себя, ухмылкой.","С ближних и дальних гумен ползли и таяли в займище звуки молотьбы, крики погонычей, высвист кнутов, татаканье веялочных барабанов.","Он не замечал, как Наталья, помогая Пантелею Прокофьевичу настилать посад снопов, перехватывала каждый невольный взгляд мужа своим тоскующим, ревнивым взглядом; не видел того, как Петро, гонявший по кругу лошадей, взглядывая на него, курносил лицо неприметной, про себя, ухмылкой. Под глухой перегуд — стон распятой под каменными катками земли — думал Гришка неясные думки, пытался и не мог поймать увиливавшие от сознания скользкие шматочки мыслей. С ближних и дальних гумен ползли и таяли в займище звуки молотьбы, крики погонычей, высвист кнутов, татаканье веялочных барабанов.",False,,False,,True,69,думать [процесс размышления],процесс размышления,WORD_CORE,WORD,S1,CORE,curated,,думать,думать,YES,same_sentence:Гришка,NARRATOR_ABOUT_HERO,narrative_context;hero_link=YES,HIGH,NARRATOR,,,1,Книга первая,2,Часть вторая
WORD,S1_011,3401,23,23,мысль,мыслей,"Под глухой перегуд — стон распятой под каменными катками земли — думал Гришка неясные думки, пытался и не мог поймать увиливавшие от сознания скользкие шматочки мыслей.","Он не замечал, как Наталья, помогая Пантелею Прокофьевичу настилать посад снопов, перехватывала каждый невольный взгляд мужа своим тоскующим, ревнивым взглядом; не видел того, как Петро, гонявший по кругу лошадей, взглядывая на него, курносил лицо неприметной, про себя, ухмылкой.","С ближних и дальних гумен ползли и таяли в займище звуки молотьбы, крики погонычей, высвист кнутов, татаканье веялочных барабанов.","Он не замечал, как Наталья, помогая Пантелею Прокофьевичу настилать посад снопов, перехватывала каждый невольный взгляд мужа своим тоскующим, ревнивым взглядом; не видел того, как Петро, гонявший по кругу лошадей, взглядывая на него, курносил лицо неприметной, про себя, ухмылкой. Под глухой перегуд — стон распятой под каменными катками земли — думал Гришка неясные думки, пытался и не мог поймать увиливавшие от сознания скользкие шматочки мыслей. С ближних и дальних гумен ползли и таяли в займище звуки молотьбы, крики погонычей, высвист кнутов, татаканье веялочных барабанов.",False,,False,,True,70,мысль [мысленный акт/реплика],мысленный акт/реплика,WORD_CORE,WORD,S1,CORE,curated,,мысль,мысль,YES,same_sentence:Гришка,NARRATOR_ABOUT_HERO,narrative_context;hero_link=YES,HIGH,NARRATOR,,,1,Книга первая,2,Часть вторая
WORD,S1_011,4217,10,10,мысль,мыслей,"Поднятая рука Григория затекала, в уме вразброд шла угарная возня мыслей.",Вглядывался в лицо Митьки; тот морщился от боли и переставлял скованную сапогом ногу.,"Подходил под крест и, целуя обслюнявленное многими ртами влажное серебро, думал об Аксинье, о жене.","Вглядывался в лицо Митьки; тот морщился от боли и переставлял скованную сапогом ногу. Поднятая рука Григория затекала, в уме вразброд шла угарная возня мыслей. Подходил под крест и, целуя обслюнявленное многими ртами влажное серебро, думал об Аксинье, о жене.",False,,False,,True,78,мысль [мысленный акт/реплика],мысленный акт/реплика,WORD_CORE,WORD,S1,CORE,curated,,мысль,мысль,YES,same_sentence:Григория,NARRATOR_ABOUT_HERO,narrative_context;hero_link=YES,HIGH,NARRATOR,,,1,Книга первая,2,Часть вторая
WORD,S1_002,4279,1,1,подумать,подумал,"«Наталья», — подумал Григорий, садясь на лавку рядом с отцом.","Из горницы вышла Ильинична, и на ее лице лежала печать некоторого смятения.","— Собери ему повечерять, — обратилась Ильинична к Дарье, указывая глазами на Григория.","Из горницы вышла Ильинична, и на ее лице лежала печать некоторого смятения. «Наталья», — подумал Григорий, садясь на лавку рядом с отцом. — Собери ему повечерять, — обратилась Ильинична к Дарье, указывая глазами на Григория.",False,,False,,True,84,подумать [инициация мысли],инициация мысли,WORD_CORE,WORD,S1,CORE,curated,,подумать,подумать,YES,same_sentence:Григорий,HERO_DIRECT_SPEECH,direct_speech;speech_verb_after_quote:Григорий,HIGH,Григорий,,,1,Книга первая,2,Часть вторая
WORD,S1_017,4436,10,10,понять,поняла,"Женским своим чутьем угадала, что не время об этом говорить, поняла, что можно навек потерять Григория, и, сомневаясь, от кого из двух зачала ворохнувшегося под сердцем ребенка, слукавила душой: не сказала.","— Надо сказать», — решила было, но сейчас же, дрогнув от испуга, отогнала страшную мысль.",— Чего дрогнула?,"— Надо сказать», — решила было, но сейчас же, дрогнув от испуга, отогнала страшную мысль. Женским своим чутьем угадала, что не время об этом говорить, поняла, что можно навек потерять Григория, и, сомневаясь, от кого из двух зачала ворохнувшегося под сердцем ребенка, слукавила душой: не сказала. — Чего дрогнула?",False,,False,,True,94,понять [понимание / ясность],понимание / ясность,WORD_CORE,WORD,S1,CORE,curated,,понять,понять,YES,same_sentence:Григория,NARRATOR_ABOUT_HERO,narrative_context;hero_link=YES,HIGH,NARRATOR,,,1,Книга первая,2,Часть вторая
WORD,S1_017,4920,8,8,понять,понять,"Аксинья, улыбаясь, глядела на Григория и не могла понять, серьезно он говорит или шутит.","— То-то гляди, а то я его в одночась спихну с крыльца.","XV
На четвертой неделе поста сдала зима.","— То-то гляди, а то я его в одночась спихну с крыльца. Аксинья, улыбаясь, глядела на Григория и не могла понять, серьезно он говорит или шутит. XV
На четвертой неделе поста сдала зима.",False,,False,,True,101,понять [понимание / ясность],понимание / ясность,WORD_CORE,WORD,S1,CORE,curated,,понять,понять,YES,same_sentence:Григория,NARRATOR_ABOUT_HERO,narrative_context;hero_link=YES,HIGH,NARRATOR,,,1,Книга первая,2,Часть вторая
WORD,S1_004,5119,9,9,решить,решил,"За ночь могло еще больше прибыть воды, и Григорий решил переправиться.","Постоялый двор, где останавливались кормить лошадей по дороге на станцию, был на той стороне.","Подъехал к тому месту, где сутки назад переезжал по льду; вышедшая из берегов речка гнала по раздвинувшемуся руслу грязные воды, легко крушила на середине отрезок плетня и половинку колесного обода.","Постоялый двор, где останавливались кормить лошадей по дороге на станцию, был на той стороне. За ночь могло еще больше прибыть воды, и Григорий решил переправиться. Подъехал к тому месту, где сутки назад переезжал по льду; вышедшая из берегов речка гнала по раздвинувшемуся руслу грязные воды, легко крушила на середине отрезок плетня и половинку колесного обода.",False,,False,,True,106,решить [решение],решение,WORD_CORE,WORD,S1,CORE,curated,,решить,решить,YES,same_sentence:Григорий,NARRATOR_ABOUT_HERO,narrative_context;hero_link=YES,HIGH,NARRATOR,,,1,Книга первая,2,Часть вторая
WORD,S1_004,5347,22,22,решить,решила,"Стыд за свое неопределенное положение (она все не верила, что Григорий ушел навсегда, и, прощая, ждала его) толкнул ее на следующий поступок: решила послать тайком от домашних в Ягодное к Григорию, чтобы узнать, совсем ли ушел он и не одумался ли.","С трудом высидев до конца, она ушла, унося в душе неоформленное решение.",Пришла она от Пелагеи поздно.,"С трудом высидев до конца, она ушла, унося в душе неоформленное решение. Стыд за свое неопределенное положение (она все не верила, что Григорий ушел навсегда, и, прощая, ждала его) толкнул ее на следующий поступок: решила послать тайком от домашних в Ягодное к Григорию, чтобы узнать, совсем ли ушел он и не одумался ли. Пришла она от Пелагеи поздно.",False,,False,,True,111,решить [решение],решение,WORD_CORE,WORD,S1,CORE,curated,,решить,решить,YES,same_sentence:Григорий,NARRATOR_ABOUT_HERO,narrative_context;hero_link=YES,HIGH,NARRATOR,,,1,Книга первая,2,Часть вторая
PHRASE,PHR_050,5420,7,8,вдруг вспомнить,вдруг вспомнила,"— Наталья бережно вытащила свою зеленую юбку и вдруг вспомнила, что в этой юбке была она, когда Григорий женихом приезжал ее проведать, под прохладным навесом сарая в первый раз пристыдил ее летучим поцелуем, и затряслась в приступившем рыдании, грудью навалилась на поднятую ребром крышку сундука.",Я в этой пойду.,— Наталья!,"Я в этой пойду. — Наталья бережно вытащила свою зеленую юбку и вдруг вспомнила, что в этой юбке была она, когда Григорий женихом приезжал ее проведать, под прохладным навесом сарая в первый раз пристыдил ее летучим поцелуем, и затряслась в приступившем рыдании, грудью навалилась на поднятую ребром крышку сундука. — Наталья!",False,,False,,True,120,вдруг вспомнить [память / воспоминание],память / воспоминание,REMEMBER,PHRASE,PHRASE,CORE,manual_existing,,вдруг вспомнить,вдруг вспомнить,YES,same_sentence:Григорий,OTHERS_TO_HERO,direct_speech;unknown_speaker;hero_name_in_utterance;speechact=STATEMENT,LOW,UNKNOWN,Григорий,STATEMENT,1,Книга первая,2,Часть вторая
WORD,S1_014,5420,8,8,вспомнить,вспомнила,"— Наталья бережно вытащила свою зеленую юбку и вдруг вспомнила, что в этой юбке была она, когда Григорий женихом приезжал ее проведать, под прохладным навесом сарая в первый раз пристыдил ее летучим поцелуем, и затряслась в приступившем рыдании, грудью навалилась на поднятую ребром крышку сундука.",Я в этой пойду.,— Наталья!,"Я в этой пойду. — Наталья бережно вытащила свою зеленую юбку и вдруг вспомнила, что в этой юбке была она, когда Григорий женихом приезжал ее проведать, под прохладным навесом сарая в первый раз пристыдил ее летучим поцелуем, и затряслась в приступившем рыдании, грудью навалилась на поднятую ребром крышку сундука. — Наталья!",True,PHR_050,False,,False,121,вспомнить [память / воспоминание],память / воспоминание,WORD_CORE,WORD,S1,CORE,curated,,вспомнить,вспомнить,YES,same_sentence:Григорий,OTHERS_TO_HERO,direct_speech;unknown_speaker;hero_name_in_utterance;speechact=STATEMENT,LOW,UNKNOWN,Григорий,STATEMENT,1,Книга первая,2,Часть вторая
WORD,S1_001,5436,9,9,думать,думала,"Дорогой пыталась она вернуть себе прежнее уравновешенное состояние духа, думала о празднике, обо всем отрывочно и туманно, но мысль упрямо возвращалась к синему клочку оберточной бумаги, спрятанной на груди, к Григорию и к той счастливой, которая теперь над ней снисходительно смеется и, быть может, даже жалеет…","Придерживая левой рукой подол юбки, обходя перламутровую синь раскинутых по улице лужиц, Наталья дошла до церкви.",Она вошла в ограду.,"Придерживая левой рукой подол юбки, обходя перламутровую синь раскинутых по улице лужиц, Наталья дошла до церкви. Дорогой пыталась она вернуть себе прежнее уравновешенное состояние духа, думала о празднике, обо всем отрывочно и туманно, но мысль упрямо возвращалась к синему клочку оберточной бумаги, спрятанной на груди, к Григорию и к той счастливой, которая теперь над ней снисходительно смеется и, быть может, даже жалеет… Она вошла в ограду.",False,,False,,True,122,думать [процесс размышления],процесс размышления,WORD_CORE,WORD,S1,CORE,curated,,думать,думать,YES,same_sentence:Григорию,NARRATOR_ABOUT_HERO,narrative_context;hero_link=YES,HIGH,NARRATOR,,,1,Книга первая,2,Часть вторая
WORD,S1_011,5436,18,18,мысль,мысль,"Дорогой пыталась она вернуть себе прежнее уравновешенное состояние духа, думала о празднике, обо всем отрывочно и туманно, но мысль упрямо возвращалась к синему клочку оберточной бумаги, спрятанной на груди, к Григорию и к той счастливой, которая теперь над ней снисходительно смеется и, быть может, даже жалеет…","Придерживая левой рукой подол юбки, обходя перламутровую синь раскинутых по улице лужиц, Наталья дошла до церкви.",Она вошла в ограду.,"Придерживая левой рукой подол юбки, обходя перламутровую синь раскинутых по улице лужиц, Наталья дошла до церкви. Дорогой пыталась она вернуть себе прежнее уравновешенное состояние духа, думала о празднике, обо всем отрывочно и туманно, но мысль упрямо возвращалась к синему клочку оберточной бумаги, спрятанной на груди, к Григорию и к той счастливой, которая теперь над ней снисходительно смеется и, быть может, даже жалеет… Она вошла в ограду.",False,,False,,True,123,мысль [мысленный акт/реплика],мысленный акт/реплика,WORD_CORE,WORD,S1,CORE,curated,,мысль,мысль,YES,same_sentence:Григорию,NARRATOR_ABOUT_HERO,narrative_context;hero_link=YES,HIGH,NARRATOR,,,1,Книга первая,2,Часть вторая
WORD,S1_016,5480,3,3,помнить,помни,"Но ты, Гришка, помни мое слово: рано аль поздно убью!","— Нынче я драться с тобой не буду, не хочу…",— Слепой сказал: «посмотрим».,"— Нынче я драться с тобой не буду, не хочу… Но ты, Гришка, помни мое слово: рано аль поздно убью! — Слепой сказал: «посмотрим».",False,,False,,True,127,помнить [память / воспоминание],память / воспоминание,WORD_CORE,WORD,S1,CORE,curated,,помнить,помнить,YES,same_sentence:Гришка,NARRATOR_ABOUT_HERO,narrative_context;hero_link=YES,HIGH,NARRATOR,,,1,Книга первая,2,Часть вторая
WORD,S1_001,5529,3,3,думать,думала,"— Я робела, Гриша… думала, что ты бросишь…",— Что ж ты молчала раньше?,"Барабаня пальцами по спинке кровати, Григорий спросил:
— Скоро?","— Что ж ты молчала раньше? — Я робела, Гриша… думала, что ты бросишь… Барабаня пальцами по спинке кровати, Григорий спросил:
— Скоро?",False,,False,,True,133,думать [процесс размышления],процесс размышления,WORD_CORE,WORD,S1,CORE,curated,,думать,думать,YES,same_sentence:Гриша,OTHERS_TO_HERO,direct_speech;unknown_speaker;hero_name_in_utterance;speechact=STATEMENT,LOW,UNKNOWN,Гриша,STATEMENT,1,Книга первая,2,Часть вторая
WORD,S1_014,5603,5,5,вспомнить,вспомнив,"Петро уже выехал со двора; вспомнив, закричал стоявшему на крыльце Григорию:
— Наталья-то…",— Путь добрый!,Забыл… беда какая…,"— Путь добрый! Петро уже выехал со двора; вспомнив, закричал стоявшему на крыльце Григорию:
— Наталья-то… Забыл… беда какая…",False,,False,,True,138,вспомнить [память / воспоминание],память / воспоминание,WORD_CORE,WORD,S1,CORE,curated,,вспомнить,вспомнить,YES,same_sentence:Григорию,NARRATOR_ABOUT_HERO,narrative_context;hero_link=YES,HIGH,NARRATOR,,,1,Книга первая,2,Часть вторая
WORD,S1_016,5741,15,15,помнить,помнил,"Запрокидываясь с козел, удерживая в натянутых руках тугую дрожь вожжей, Григорий опасливо косился на раскаты, помнил, как по первопутку пан за неловкий толчок сунул ему в затылок крепкий не по-стариковски кулак.",— Пан указал глазами на рысака.,"Спустились к мосту, и тут, по Дону, Григорий ослабил вожжи, растирая перчаткой охваченные ветровым огнем щеки.","— Пан указал глазами на рысака. Запрокидываясь с козел, удерживая в натянутых руках тугую дрожь вожжей, Григорий опасливо косился на раскаты, помнил, как по первопутку пан за неловкий толчок сунул ему в затылок крепкий не по-стариковски кулак. Спустились к мосту, и тут, по Дону, Григорий ослабил вожжи, растирая перчаткой охваченные ветровым огнем щеки.",False,,False,,True,141,помнить [память / воспоминание],память / воспоминание,WORD_CORE,WORD,S1,CORE,curated,,помнить,помнить,YES,same_sentence:Григорий,NARRATOR_ABOUT_HERO,narrative_context;hero_link=YES,HIGH,NARRATOR,,,1,Книга первая,2,Часть вторая
WORD,ALEX_008,5821,14,14,вспоминать,вспоминая,"Аксинья, касаясь пальцами его ноги, часто повторяла:
— Гриша, погоди… что-то хотела сказать… — и морщилась, вспоминая, растерянная, дрожащая.","Григорий с рассчитанной медлительностью затягивал подпруги, садился на коня и разбирал поводья.","— Ну, прощай!","Григорий с рассчитанной медлительностью затягивал подпруги, садился на коня и разбирал поводья. Аксинья, касаясь пальцами его ноги, часто повторяла:
— Гриша, погоди… что-то хотела сказать… — и морщилась, вспоминая, растерянная, дрожащая. — Ну, прощай!",False,,False,,True,143,вспоминать [память / воспоминание],память / воспоминание,WORD_ALEXANDROVA,WORD,ALEXANDROVA,CORE,dictionary,,вспоминать,вспоминать,YES,same_sentence:Гриша,NARRATOR_ABOUT_HERO,narrative_context;hero_link=YES,HIGH,NARRATOR,,,1,Книга первая,2,Часть вторая
