hit_type,marker_id,sent_id,token_idx,token_end_idx,target_lemma,target_surface,sent_text,prev_sent_text,next_sent_text,context_window,overlaps_phrase,phrase_overlap_ids,is_noise,noise_reason,count_in_main_stats,hit_id
WORD,S1_012,1152,8,8,мысленно,мысленно,"Аксинья неотступно была в его мыслях; полузакрыв глаза, мысленно целовал ее, говорил ей откуда-то набредавшие на язык горячие и ласковые слова, потом отбрасывал это, шагал под счет — раз, два, три; память подсовывала отрезки воспоминаний: «Сидели под мокрой копной… в ендове свиристела турчелка… месяц над займищем… и с куста в лужину редкие капли вот так же — раз, два, три…","Впереди рассыпанной радугой цвели бабьи завески, но он искал глазами одну, белую с прошитой каймой; оглядывался на Аксинью и, снова приноравливаясь к отцову шагу, махал косой.","Хорошо, ах, хорошо-то!..»","Впереди рассыпанной радугой цвели бабьи завески, но он искал глазами одну, белую с прошитой каймой; оглядывался на Аксинью и, снова приноравливаясь к отцову шагу, махал косой. Аксинья неотступно была в его мыслях; полузакрыв глаза, мысленно целовал ее, говорил ей откуда-то набредавшие на язык горячие и ласковые слова, потом отбрасывал это, шагал под счет — раз, два, три; память подсовывала отрезки воспоминаний: «Сидели под мокрой копной… в ендове свиристела турчелка… месяц над займищем… и с куста в лужину редкие капли вот так же — раз, два, три… Хорошо, ах, хорошо-то!..»",False,,False,,True,16
WORD,S1_002,1157,7,7,подумать,подумал,"«Дойду вон до энтого кустика, косу отобью», — подумал Григорий и почувствовал, как коса прошла по чему-то вязкому.","Дуняшка сидела на вие, тонюсеньким голоском пела.",Нагнулся посмотреть: из-под ног с писком заковылял в траву маленький дикий утенок.,"Дуняшка сидела на вие, тонюсеньким голоском пела. «Дойду вон до энтого кустика, косу отобью», — подумал Григорий и почувствовал, как коса прошла по чему-то вязкому. Нагнулся посмотреть: из-под ног с писком заковылял в траву маленький дикий утенок.",False,,False,,True,17
WORD,S1_024,1317,3,3,намереваться,намереваясь,"— Он сучил ногами, намереваясь еще раз ударить.","Ах ты чертово семя, прокляя-я-а-а-тый сын!",— На Марфушке-дурочке женю!..,"Ах ты чертово семя, прокляя-я-а-а-тый сын! — Он сучил ногами, намереваясь еще раз ударить. — На Марфушке-дурочке женю!..",False,,False,,True,18
WORD,S1_004,1401,19,19,решить,решили,"Но они жили почти не таясь, вязало их что-то большое, не похожее на короткую связь, и поэтому в хуторе решили, что это преступно, безнравственно, и хутор прижух в поганеньком выжиданьице: придет Степан — узелок развяжет.",Хутор поговорил бы и перестал.,В горнице над кроватью протянута веревочка.,"Хутор поговорил бы и перестал. Но они жили почти не таясь, вязало их что-то большое, не похожее на короткую связь, и поэтому в хуторе решили, что это преступно, безнравственно, и хутор прижух в поганеньком выжиданьице: придет Степан — узелок развяжет. В горнице над кроватью протянута веревочка.",False,,False,,True,19
WORD,S1_001,1472,5,5,думать,думает,"Григорий углом переламывает левую бровь, думает и неожиданно открывает горячие свои, нерусские глаза.",Хучь словцо урони.,Они смеются.,"Хучь словцо урони. Григорий углом переламывает левую бровь, думает и неожиданно открывает горячие свои, нерусские глаза. Они смеются.",False,,False,,True,20
WORD,S1_001,1708,9,9,думать,думая,"Вытерла о завеску руки с засученными по локоть рукавами; думая о чем-то своем, плескала в запенившуюся цедилку молоко.","Аксинья, спеша, выгнала коров, понесла в сенцы цедить молоко.",По улице резко зацокали колеса.,"Аксинья, спеша, выгнала коров, понесла в сенцы цедить молоко. Вытерла о завеску руки с засученными по локоть рукавами; думая о чем-то своем, плескала в запенившуюся цедилку молоко. По улице резко зацокали колеса.",False,,False,,True,21
WORD,S1_002,1767,2,2,подумать,подумал,"Так и подумал Гришка, увидев из окна горницы, как подпрыгивает Степан.",Издали на Степана глядеть — казачка человек вытанцовывает.,А доглядел — и выскочил из куреня.,"Издали на Степана глядеть — казачка человек вытанцовывает. Так и подумал Гришка, увидев из окна горницы, как подпрыгивает Степан. А доглядел — и выскочил из куреня.",False,,False,,True,22
WORD,ALEX_012,1857,10,10,догадаться,догадался,"Сквозь веснушки, устрекавшие его лицо, проступила коричневая краска: тут только догадался он, зачем приехали гости.","— Слава богу, — подтвердил и хозяин.","— Скажи, чтоб коней ихних ввели на баз.","— Слава богу, — подтвердил и хозяин. Сквозь веснушки, устрекавшие его лицо, проступила коричневая краска: тут только догадался он, зачем приехали гости. — Скажи, чтоб коней ихних ввели на баз.",False,,False,,True,23
WORD,S1_001,1869,1,1,думать,думали,"— Не думали, признаться, в нонешний мясоед выдавать.",— Хозяин почесал лысеющую голову.,"Тут делов пропастишша, а тут-таки и годков ей не дюже чтоб много.","— Хозяин почесал лысеющую голову. — Не думали, признаться, в нонешний мясоед выдавать. Тут делов пропастишша, а тут-таки и годков ей не дюже чтоб много.",False,,False,,True,24
WORD,S1_002,1880,2,2,подумать,подумал,"Пантелей Прокофьевич подумал, что им отказывают, — загорячился.","— Выдать не вопрос, — чесался хозяин, — выдать в любое время можно.",— Оно само собой — дело хозяйское…,"— Выдать не вопрос, — чесался хозяин, — выдать в любое время можно. Пантелей Прокофьевич подумал, что им отказывают, — загорячился. — Оно само собой — дело хозяйское…",False,,False,,True,25
WORD,S1_001,1897,4,4,думать,думал,"Слушал старик Мелехов и думал, восхищаясь: «Эк чешет, дьявол, языкастая!",Тек Пантелею Прокофьевичу в уши патокой свашенькин журчливый голосок.,"Скажи, как чулок вяжет.","Тек Пантелею Прокофьевичу в уши патокой свашенькин журчливый голосок. Слушал старик Мелехов и думал, восхищаясь: «Эк чешет, дьявол, языкастая! Скажи, как чулок вяжет.",False,,False,,True,26
WORD,S1_002,1918,7,7,подумать,подумал,"Осмотрел, как барышник оглядывает матку-кобылицу перед покупкой, подумал: «Хороша» — и встретился с ее глазами, направленными на него в упор.",Григорьевы глаза в минуту обежали всю ее — с головы до высоких красивых ног.,"Бесхитростный, чуть смущенный, правдивый взгляд словно говорил: «Вот я вся, какая есть.","Григорьевы глаза в минуту обежали всю ее — с головы до высоких красивых ног. Осмотрел, как барышник оглядывает матку-кобылицу перед покупкой, подумал: «Хороша» — и встретился с ее глазами, направленными на него в упор. Бесхитростный, чуть смущенный, правдивый взгляд словно говорил: «Вот я вся, какая есть.",False,,False,,True,27
WORD,S1_017,1929,10,10,понять,понял,"XVI
Только после того, как узнал от Томилина про Аксинью, понял Степан, вынашивая в душе тоску и ненависть, что, несмотря на плохую жизнь с ней, на ту давнишнюю обиду, любил он ее тяжкой, ненавидящей любовью.","Хозяин, провожавший их до ворот, умышленно промолчал, как будто ничего и не слышал.","По ночам лежал в повозке, укрывшись шинелью, заломив над головою руки, думал о том, как вернется домой, как встретит его жена, и чувствовал, словно вместо сердца копошится в груди ядовитый тарантул…","Хозяин, провожавший их до ворот, умышленно промолчал, как будто ничего и не слышал. XVI
Только после того, как узнал от Томилина про Аксинью, понял Степан, вынашивая в душе тоску и ненависть, что, несмотря на плохую жизнь с ней, на ту давнишнюю обиду, любил он ее тяжкой, ненавидящей любовью. По ночам лежал в повозке, укрывшись шинелью, заломив над головою руки, думал о том, как вернется домой, как встретит его жена, и чувствовал, словно вместо сердца копошится в груди ядовитый тарантул…",False,,False,,True,28
WORD,S1_001,1930,11,11,думать,думал,"По ночам лежал в повозке, укрывшись шинелью, заломив над головою руки, думал о том, как вернется домой, как встретит его жена, и чувствовал, словно вместо сердца копошится в груди ядовитый тарантул…","XVI
Только после того, как узнал от Томилина про Аксинью, понял Степан, вынашивая в душе тоску и ненависть, что, несмотря на плохую жизнь с ней, на ту давнишнюю обиду, любил он ее тяжкой, ненавидящей любовью.","Лежал, готовя в уме тысячи подробностей расправы, и было такое ощущенье, будто на зубах зернистый и крупный песок.","XVI
Только после того, как узнал от Томилина про Аксинью, понял Степан, вынашивая в душе тоску и ненависть, что, несмотря на плохую жизнь с ней, на ту давнишнюю обиду, любил он ее тяжкой, ненавидящей любовью. По ночам лежал в повозке, укрывшись шинелью, заломив над головою руки, думал о том, как вернется домой, как встретит его жена, и чувствовал, словно вместо сердца копошится в груди ядовитый тарантул… Лежал, готовя в уме тысячи подробностей расправы, и было такое ощущенье, будто на зубах зернистый и крупный песок.",False,,False,,True,29
WORD,S1_001,1954,2,2,думать,думаешь,"— А мне, думаешь, не больно было?",— Больно.,Засыпал он поздно.,"— Больно. — А мне, думаешь, не больно было? Засыпал он поздно.",False,,False,,True,30
WORD,ALEX_008,1964,1,1,вспоминать,вспоминая,"После, вспоминая эту встречу, ей стоило немалых усилий, чтобы уверить себя, что это было наяву.","Увидела и почувствовала, как похолодело под руками коромысло и жаром осыпала кровь виски.","Григорий увидел ее, когда она почти поравнялась с ним.","Увидела и почувствовала, как похолодело под руками коромысло и жаром осыпала кровь виски. После, вспоминая эту встречу, ей стоило немалых усилий, чтобы уверить себя, что это было наяву. Григорий увидел ее, когда она почти поравнялась с ним.",False,,False,,True,31
WORD,S1_014,2000,4,4,вспомнить,вспомнив,"Не ходи!.. — крикнул Степан, вспомнив.",— Поди возьми у Мелеховых…,Аксинья пошла затворять брошенную настежь калитку.,"— Поди возьми у Мелеховых… Не ходи!.. — крикнул Степан, вспомнив. Аксинья пошла затворять брошенную настежь калитку.",False,,False,,True,32
WORD,S1_011,2017,3,3,мысль,мысль,Что тогда?» — опалила мысль.,«А ну как вернется?,"Стала, словно под ногами увидела глубокий яр, поглядела назад и — чуть не рысью по-над Доном к займищу.","«А ну как вернется? Что тогда?» — опалила мысль. Стала, словно под ногами увидела глубокий яр, поглядела назад и — чуть не рысью по-над Доном к займищу.",False,,False,,True,33
WORD,S1_009,2031,4,4,сомнение,сомненьем,"С полчаса сидела, мучаясь сомненьем — придет или нет, хотела уж идти, привстала, поправляя под платком волосы, — в это время тягуче заскрипели дверцы.","Полые, в щетинистом пушке будылья подсолнечников молча сосут землю.",Шаги.,"Полые, в щетинистом пушке будылья подсолнечников молча сосут землю. С полчаса сидела, мучаясь сомненьем — придет или нет, хотела уж идти, привстала, поправляя под платком волосы, — в это время тягуче заскрипели дверцы. Шаги.",False,,False,,True,34
WORD,S1_001,2083,20,20,думать,думала,"В эту минуту она сама верила, что не затем пришла, чтобы навязываться Григорию; но когда бежала над Доном в займище, думала, не отдавая себе ясного отчета: «Отговорю!",Не боись!,Нехай не женится.,"Не боись! В эту минуту она сама верила, что не затем пришла, чтобы навязываться Григорию; но когда бежала над Доном в займище, думала, не отдавая себе ясного отчета: «Отговорю! Нехай не женится.",False,,False,,True,35
WORD,S1_014,2086,0,0,вспомнить,Вспомнила,"Вспомнила тогда о Степане и норовисто мотнула головой, отгоняя некстати подвернувшуюся мысль.",С кем же жизнь свяжу?!»,"— Значится, кончилась наша любовь? — спросил Григорий и лег на живот, облокотившись и выплевывая розовые, изжеванные под разговор лепестки повительного цветка.","С кем же жизнь свяжу?!» Вспомнила тогда о Степане и норовисто мотнула головой, отгоняя некстати подвернувшуюся мысль. — Значится, кончилась наша любовь? — спросил Григорий и лег на живот, облокотившись и выплевывая розовые, изжеванные под разговор лепестки повительного цветка.",False,,False,,True,36
WORD,S1_011,2086,11,11,мысль,мысль,"Вспомнила тогда о Степане и норовисто мотнула головой, отгоняя некстати подвернувшуюся мысль.",С кем же жизнь свяжу?!»,"— Значится, кончилась наша любовь? — спросил Григорий и лег на живот, облокотившись и выплевывая розовые, изжеванные под разговор лепестки повительного цветка.","С кем же жизнь свяжу?!» Вспомнила тогда о Степане и норовисто мотнула головой, отгоняя некстати подвернувшуюся мысль. — Значится, кончилась наша любовь? — спросил Григорий и лег на живот, облокотившись и выплевывая розовые, изжеванные под разговор лепестки повительного цветка.",False,,False,,True,37
WORD,S1_001,2117,0,0,думать,Думала,"Думала, скажет Григорий: «…прикончим Степана», но он досадливо облизал пересохшие губы (тяжело ворочались они), сказал:
— …прикончим эту историю.","Огонь страха и нетерпения жадно лизал ей лицо, сушил во рту слюну.",А?,"Огонь страха и нетерпения жадно лизал ей лицо, сушил во рту слюну. Думала, скажет Григорий: «…прикончим Степана», но он досадливо облизал пересохшие губы (тяжело ворочались они), сказал:
— …прикончим эту историю. А?",False,,False,,True,38
WORD,S1_020,2198,2,2,ясно,ясно,"Через минуту ясно стало видно лошадь, стлавшуюся в броском намёте, и седока.","— Ей-богу, он!",— Батя…,"— Ей-богу, он! Через минуту ясно стало видно лошадь, стлавшуюся в броском намёте, и седока. — Батя…",False,,False,,True,39
WORD,S1_011,2201,6,6,мысль,мысль,"— Должно, дома что-нибудь… — высказал Григорий общую мысль.",— Петро в испуганном недоумении затоптался на месте.,"Пантелей Прокофьевич, не доезжая саженей сто, придержал лошадь, затрусил рысью.","— Петро в испуганном недоумении затоптался на месте. — Должно, дома что-нибудь… — высказал Григорий общую мысль. Пантелей Прокофьевич, не доезжая саженей сто, придержал лошадь, затрусил рысью.",False,,False,,True,40
WORD,S1_002,2342,0,0,подумать,Подумал,"Подумал: «Глядишь зараз дюже гордо, как гусыня из кошелки, а вот придется дочек выдавать замуж — тогда я по-гля-жу-у… небось тогда запрядаешь!»",Стало Мирону Григорьевичу обидно до слез.,Под ухом его большим черным шмелем гудел Пантелей Прокофьевич.,"Стало Мирону Григорьевичу обидно до слез. Подумал: «Глядишь зараз дюже гордо, как гусыня из кошелки, а вот придется дочек выдавать замуж — тогда я по-гля-жу-у… небось тогда запрядаешь!» Под ухом его большим черным шмелем гудел Пантелей Прокофьевич.",False,,False,,True,41
WORD,S1_001,2422,14,14,думать,думал,"Летом с восхода до заката солнца сиживал на завалинке, чертил костылем землю, угнув голову, думал неясными образами, обрывками мыслей, плывущими сквозь мглу забвения тусклыми отсветами воспоминаний…","За боевые отличия под Плевной и Рошичем имел два Георгия и георгиевскую медаль и, доживая у сына, пользуясь в хуторе всеобщим уважением за ясный до старости ум, неподкупную честность и хлебосольство, короткие остатки жизни тратил на воспоминания.","От потрескавшегося козырька казачьей слинявшей фуражки падала на черные веки закрытых глаз черная тень; от тени морщины щек казались глубже, седая борода отливала сизью.","За боевые отличия под Плевной и Рошичем имел два Георгия и георгиевскую медаль и, доживая у сына, пользуясь в хуторе всеобщим уважением за ясный до старости ум, неподкупную честность и хлебосольство, короткие остатки жизни тратил на воспоминания. Летом с восхода до заката солнца сиживал на завалинке, чертил костылем землю, угнув голову, думал неясными образами, обрывками мыслей, плывущими сквозь мглу забвения тусклыми отсветами воспоминаний… От потрескавшегося козырька казачьей слинявшей фуражки падала на черные веки закрытых глаз черная тень; от тени морщины щек казались глубже, седая борода отливала сизью.",False,,False,,True,42
WORD,S1_011,2422,18,18,мысль,мыслей,"Летом с восхода до заката солнца сиживал на завалинке, чертил костылем землю, угнув голову, думал неясными образами, обрывками мыслей, плывущими сквозь мглу забвения тусклыми отсветами воспоминаний…","За боевые отличия под Плевной и Рошичем имел два Георгия и георгиевскую медаль и, доживая у сына, пользуясь в хуторе всеобщим уважением за ясный до старости ум, неподкупную честность и хлебосольство, короткие остатки жизни тратил на воспоминания.","От потрескавшегося козырька казачьей слинявшей фуражки падала на черные веки закрытых глаз черная тень; от тени морщины щек казались глубже, седая борода отливала сизью.","За боевые отличия под Плевной и Рошичем имел два Георгия и георгиевскую медаль и, доживая у сына, пользуясь в хуторе всеобщим уважением за ясный до старости ум, неподкупную честность и хлебосольство, короткие остатки жизни тратил на воспоминания. Летом с восхода до заката солнца сиживал на завалинке, чертил костылем землю, угнув голову, думал неясными образами, обрывками мыслей, плывущими сквозь мглу забвения тусклыми отсветами воспоминаний… От потрескавшегося козырька казачьей слинявшей фуражки падала на черные веки закрытых глаз черная тень; от тени морщины щек казались глубже, седая борода отливала сизью.",False,,False,,True,43
WORD,ALEX_008,2430,8,8,вспоминать,вспоминала,"Наталья смотрела на сетчатку жил на дедовой руке, вспоминала: во дворе рыли колодец, и она — тогда еще девчонка, — вычерпывая из бадьи влажную глину, делала тяжелых кукол и коров с рассыпчатыми рогами.","— Дык что ж, моя чадунюшка, хучь оно и лето, а кровь, как земля в глубе, холодная.","Она живо восстанавливала в памяти ощущение, испытываемое руками от прикосновения к мертвой, леденистой земле, добытой с пятисаженной глубины, и уже со страхом смотрела на дедовы руки в коричневых, глиняного цвета, старческих веснушках.","— Дык что ж, моя чадунюшка, хучь оно и лето, а кровь, как земля в глубе, холодная. Наталья смотрела на сетчатку жил на дедовой руке, вспоминала: во дворе рыли колодец, и она — тогда еще девчонка, — вычерпывая из бадьи влажную глину, делала тяжелых кукол и коров с рассыпчатыми рогами. Она живо восстанавливала в памяти ощущение, испытываемое руками от прикосновения к мертвой, леденистой земле, добытой с пятисаженной глубины, и уже со страхом смотрела на дедовы руки в коричневых, глиняного цвета, старческих веснушках.",False,,False,,True,44
WORD,S1_001,2524,5,5,думать,думала,"По ночам, исступленно лаская мужа, думала Аксинья о другом, и плелась в душе ненависть с великой любовью.","От росы, от солнца поднимается втолоченный в землю стебель; сначала гнется, как человек, надорвавшийся непосильной тяжестью, потом прямится, поднимает голову, и так же светит ему день, и тот же качает ветер…","В мыслях шла баба на новое бесчестье, на прежний позор: решила отнять Гришку у счастливой, ни горя, ни радости любовной не ведавшей Натальи Коршуновой.","От росы, от солнца поднимается втолоченный в землю стебель; сначала гнется, как человек, надорвавшийся непосильной тяжестью, потом прямится, поднимает голову, и так же светит ему день, и тот же качает ветер… По ночам, исступленно лаская мужа, думала Аксинья о другом, и плелась в душе ненависть с великой любовью. В мыслях шла баба на новое бесчестье, на прежний позор: решила отнять Гришку у счастливой, ни горя, ни радости любовной не ведавшей Натальи Коршуновой.",False,,False,,True,45
